pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,0.00297559494562724,0.104145823096953,0.431707695803346,-0.787760234820947,-1.99053481838649,5,Tubb5|Tuba1a|Tubb2b|Actb
GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES,0.0133115879976516,0.232952789958903,0.380730400722792,-0.673460238966182,-1.8474270897075,6,Tubb5|Tuba1a|Tubb2b|Ddx5
GOMF_CELL_ADHESION_MOLECULE_BINDING,0.0498618139201775,0.439189189189189,0.321775918075361,-0.553191489361702,-1.65150733860818,7,Ptprz1|Cdh2|Nrg1|Pfkp|Cadm1|Macf1|Pkp4
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING,0.0878378378378378,0.439189189189189,0.195789002148949,0.562597441178218,1.41177668057402,6,Zbtb16|Mitf|Runx2
GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.0878378378378378,0.439189189189189,0.195789002148949,0.562597441178218,1.41177668057402,6,Zbtb16|Mitf|Runx2
GOMF_SEQUENCE_SPECIFIC_DNA_BINDING,0.0657894736842105,0.439189189189189,0.224966093540314,0.552560001651361,1.48091969326923,7,Zbtb16|Mitf|Runx2|Mbnl2
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,0.0857425515706738,0.439189189189189,0.287805130535564,-0.438357853857584,-1.5254009856664,10,Tubb5|Tuba1a|Tubb2b|Actb
GOMF_RIBONUCLEOTIDE_BINDING,0.107112314112255,0.468616374241117,0.287805130535564,-0.392203045616515,-1.52959329853959,13,Tubb5|Tuba1a|Tubb2b|Actb|Ddx5
GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY,0.177631578947368,0.690789473684211,0.131457611642763,0.478370879739564,1.28208493987198,7,Zbtb16|Mitf|Runx2
GOMF_KINASE_BINDING,0.232057416267943,0.812200956937799,0.139599673451922,-0.490883758673543,-1.24037895063618,5,Actb|Cdh2|Nrg1
GOMF_CHROMATIN_BINDING,0.293918918918919,0.93519656019656,0.0995791200495904,0.45614781268952,1.14465299291312,6,Nap1l5|Mitf|Runx2
GOMF_ACTIN_BINDING,0.890625,0.986595174262735,0.0633597010643758,-0.213040181342273,-0.682995421330575,8,Tmsb10
GOMF_ADENYL_NUCLEOTIDE_BINDING,0.983914209115282,0.986595174262735,0.059989249649033,-0.155633494732044,-0.529996319540692,9,Actb|Ddx5
GOMF_CATION_CHANNEL_ACTIVITY,0.97972972972973,0.986595174262735,0.038875878582578,0.209022907289459,0.52452010019641,6,Kcnc1|Slc24a2|Unc80|Grin2b|Gria2
GOMF_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.955729166666667,0.986595174262735,0.059989249649033,-0.180089165998076,-0.577356229388082,8,mt-Cytb|Kcnq5|mt-Co3|Gria2|Grin2b|Unc80|Slc24a2
GOMF_CYTOSKELETAL_PROTEIN_BINDING,0.928571428571429,0.986595174262735,0.0374584205912161,0.176183904192945,0.599989480805286,14,Fmn1|Kcnc1|Ttll5|Rab27b|Epb41|Plekhh2
GOMF_ENZYME_REGULATOR_ACTIVITY,0.937799043062201,0.986595174262735,0.0568864160475701,-0.25,-0.63170706339313,5,Nrg1|Zeb2|Ccdc88a|Dennd5b|Tbc1d9
GOMF_IDENTICAL_PROTEIN_BINDING,0.366391184573003,0.986595174262735,0.116739204791222,-0.282425722278428,-1.07868566695228,12,Tuba1a|Actb|Cdh2|Tcf4|Pfkp|Cadm1|Ccdc88a|Trim9|Tpr|Fhit|Ubash3b
GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.955729166666667,0.986595174262735,0.059989249649033,-0.180089165998076,-0.577356229388082,8,mt-Cytb|Kcnq5|mt-Co3|Gria2|Grin2b|Unc80|Slc24a2
GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.955729166666667,0.986595174262735,0.059989249649033,-0.180089165998076,-0.577356229388082,8,mt-Cytb|Kcnq5|mt-Co3|Gria2|Grin2b|Unc80|Slc24a2
GOMF_MOLECULAR_FUNCTION_REGULATOR,0.871046228710462,0.986595174262735,0.0611692626746689,-0.252631578947368,-0.693015557057086,6,Nrg1|Zeb2|Ccdc88a|Dennd5b|Rab27b|Tbc1d9
GOMF_MRNA_3_UTR_BINDING,0.858851674641148,0.986595174262735,0.0610363728309177,-0.28125,-0.710670446317271,5,Ddx5|Celf2|Cpeb3|Cpeb4|Cpeb1
GOMF_MRNA_BINDING,0.986595174262735,0.986595174262735,0.0598603117764473,-0.152173913043478,-0.518215015231828,9,Ddx5|Snrnp70|Celf4|Celf2|Cpeb3|Tpr|Cpeb4|Cpeb1|Pcf11
GOMF_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.97972972972973,0.986595174262735,0.038875878582578,0.209022907289459,0.52452010019641,6,Kcnc1|Slc24a2|Unc80|Grin2b|Gria2
GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING,0.55625,0.986595174262735,0.0982123351217438,-0.214285714285714,-0.909531107917848,17,Tubb5|Actb|Ddx5|Ptprz1|Nrg1|Map1b|Pfkp|Ccdc88a|Macf1|Impact|Cpeb3|Tpr|Cpeb4|Epb41|Cpeb1|Homer1|Bckdhb
GOMF_PROTEIN_DIMERIZATION_ACTIVITY,0.583198707592892,0.986595174262735,0.0607719451853533,0.321054215600664,0.903341598286002,8,Zbtb16|Mitf
GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING,0.547619047619048,0.986595174262735,0.0629394692018967,0.316078487563376,0.920398356776375,9,Zbtb16|Fmn1|Runx2
GOMF_PROTEIN_HOMODIMERIZATION_ACTIVITY,0.607508532423208,0.986595174262735,0.0614364107201271,0.378169927219401,0.887348462097715,5,Zbtb16|Tpr|Trim9|Ccdc88a|Cadm1
GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING,0.84641638225256,0.986595174262735,0.0460457683018055,0.296282419720628,0.695205331155695,5,Cpeb1|Cpeb4|Cpeb3|Impact
GOMF_RNA_BINDING,0.877976190476191,0.986595174262735,0.0706196247122591,-0.164601256292024,-0.672944672201193,15,Ddx5|Las1l|Pabpn1|Snrnp70|Son
GOMF_SIGNALING_RECEPTOR_BINDING,0.781906300484653,0.986595174262735,0.0471642455670861,0.261921434807893,0.736961285812923,8,Map7|Homer1|Sec14l1
GOMF_TRANSCRIPTION_FACTOR_BINDING,0.837837837837838,0.986595174262735,0.0460457683018055,0.285665457210859,0.716846187730973,6,Zbtb16|Runx2
GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS,0.863175675675676,0.986595174262735,0.0446854397644147,0.28035413319012,0.703518001630893,6,Nek7|Sik2|Fhit|Cept1
GOMF_TRANSPORTER_ACTIVITY,0.955729166666667,0.986595174262735,0.059989249649033,-0.180089165998076,-0.577356229388082,8,mt-Cytb|Kcnq5|mt-Co3|Gria2|Grin2b|Unc80|Slc24a2
GOMF_TUBULIN_BINDING,0.947368421052632,0.986595174262735,0.0391956336118146,0.217779861611503,0.583673238913541,7,Fmn1|Ttll5|Tpr|Macf1|Ccdc88a
