pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,0.00241226690354029,0.110964277562853,0.431707695803346,-0.630251153161816,-1.95502853183386,11,Rpl19|Rps10|Rpl9|Rpl13|Rpl17|Rps23|Rplp1|Fau|Rpl27a|Rps15
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.055956678700361,0.643501805054152,0.257206466468838,-0.642588617146682,-1.49499555000103,5,Aldoa|Gapdh|Pkm
KEGG_OOCYTE_MEIOSIS,0.0540540540540541,0.643501805054152,0.252961123069611,-0.51006711409396,-1.58221965354789,11,Ppp3r1|Calm3|Ppp2r1a|Ywhah|Adcy1|Cpeb1|Ywhab|Ywhaz|Calm1|Ppp3cb|Calm2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0477707006369427,0.643501805054152,0.261663521711573,-0.415915025812194,-1.58008967886561,19,Itga8|Cfl1|Tmsb4x|Vcl|Arpc1a|Arpc5|Pip5k1b|Diaph2|Arpc2|Actg1|Pfn2|Wasl
KEGG_HUNTINGTONS_DISEASE,0.113175675675676,0.844246031746032,0.170932335370056,-0.45364867926616,-1.40721061269741,11,Atp5g1|Ap2b1|Atp5g3|Sdha|Cox4i1|Atp5a1|Plcb1|Atp5c1|Cltc
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.128472222222222,0.844246031746032,0.161978948883402,-0.474299370589677,-1.36863983247757,9,Grm8|Htr4|Gabra4
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.115755627009646,0.844246031746032,0.16440575583821,-0.389803666228602,-1.39753841674001,16,Tuba1b|Tubb4b|Arpc1a|Arpc5|Arpc2|Actg1|Wasl|Tubb2b|Ywhaz|Tubb3|Tuba1a|Rock2
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.150268336314848,0.864042933810376,0.151148761385484,-0.54242928452579,-1.32868556776024,6,Hsp90aa1|Adcy1|Cpeb1|Mapk10|Hsp90ab1|Akt3
KEGG_ADHERENS_JUNCTION,0.400715563506261,1,0.0850427463764322,-0.429615646175413,-1.05234751338378,6,Vcl|Actg1|Lmo7|Wasl
KEGG_ALZHEIMERS_DISEASE,0.283676703645008,1,0.0978773277424561,-0.29156835988003,-1.15807577191729,22,Atf6|Ppp3r1|Gapdh|Calm3|Atp5g1|Atp5g3|Sdha|Cox4i1|Atp5a1|Atp2a2|Plcb1|Atp5c1|Calm1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.535234899328859,1,0.0667426134241917,-0.28524423074985,-0.933807843448698,13,Itga8|Pkp2|Dmd
KEGG_AXON_GUIDANCE,0.583601286173634,1,0.0605092988656667,-0.245045662841506,-0.907755249192422,18,Slit1|Ppp3r1|Cfl1|Plxna1
KEGG_CALCIUM_SIGNALING_PATHWAY,0.741100323624595,1,0.0496901392724606,-0.211706231639563,-0.770620571236325,17,Ppp3r1|Htr4|Calm3|Adcy1
