pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_PARKINSONS_DISEASE,4.94336134844749e-13,1.97734453937899e-11,0.921426003494898,-0.859593492437221,-3.02516726052848,18,Ubb|mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Uchl1|Ndufa4|mt-Nd1|Atp5b|Slc25a4|mt-Atp6|Cox6a1|mt-Co2|Cox4i1|Cox6c|Cox7c|mt-Cytb
KEGG_OXIDATIVE_PHOSPHORYLATION,4.51015930878276e-11,9.02031861756552e-10,0.851339057116899,-0.855595667870036,-2.93441552197878,16,mt-Co1|mt-Nd4|mt-Co3|mt-Nd2|Atp6v0c|Ndufa4|mt-Nd1|Atp5b|mt-Atp6|Cox6a1|mt-Co2|Cox4i1|Cox6c|Cox7c|mt-Cytb|Atp5a1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,1.52475715565294e-10,2.03300954087059e-09,0.826657301178302,-0.908180475228977,-2.77690827544295,11,Tubb2b|Tuba1a|Actg1|Tubb2a|Actb|Tubb5|Tuba1b|Tubb4b|Tubb3
KEGG_ALZHEIMERS_DISEASE,4.52423269541062e-09,4.52423269541062e-08,0.761460801445585,-0.784537068418903,-2.76102119773224,18,Gapdh|mt-Co1|mt-Co3|Calm3|Ndufa4|Atp5b|Calm1|mt-Atp6|Cox6a1|mt-Co2|Cox4i1|Cox6c|Cox7c|mt-Cytb|Atp5a1|Atp2a2
KEGG_HUNTINGTONS_DISEASE,3.31779208652626e-08,2.654233669221e-07,0.719512826338911,-0.808501367521378,-2.66263356289178,14,mt-Co1|mt-Co3|Ndufa4|Atp5b|Slc25a4|mt-Atp6|Cox6a1|mt-Co2|Cox4i1|Cox6c|Cox7c|mt-Cytb|Atp5a1
KEGG_GAP_JUNCTION,1.28849683944208e-06,8.58997892961385e-06,0.643551836150722,-0.802549827605476,-2.45392553409725,11,Tubb2b|Tuba1a|Tubb2a|Tubb5|Tuba1b|Tubb4b|Tubb3
KEGG_CARDIAC_MUSCLE_CONTRACTION,1.62726834981883e-05,9.29867628467905e-05,0.575610261071129,-0.746543987447839,-2.39135645286636,13,mt-Co1|mt-Co3|Atp1b1|Cox6a1|mt-Co2|Cox4i1|Cox6c|Cox7c|mt-Cytb|Atp1a3
KEGG_RIBOSOME,0.000677490305580687,0.00338745152790343,0.477270815362862,-0.808510638297872,-2.02915736422216,6,Rpl19|Rpl38|Rps29|Rplp1|Rplp2|Rpsa
KEGG_OOCYTE_MEIOSIS,0.00169638036617994,0.00753946829413307,0.45505986738723,-0.643387437336516,-1.96726085594974,11,Calm3|Ppp2r1a|Ywhah|Calm1|Ywhab|Ywhag|Ywhae
KEGG_TIGHT_JUNCTION,0.00377843219495961,0.0151137287798384,0.431707695803346,-0.679345952732395,-1.87222496608584,8,Actg1|Actb|Ppp2r1a
KEGG_VIBRIO_CHOLERAE_INFECTION,0.00578460426387236,0.0210349245958995,0.407017918923954,-0.786535373506395,-1.82905758023404,5,Actg1|Actb|Atp6v0c
KEGG_SPLICEOSOME,0.0102504579544319,0.0341681931814397,0.380730400722792,-0.76283185840708,-1.7739359729536,5,Hspa8|Hnrnpk|Hnrnpa1|Ddx5|Snrnp70
KEGG_CELL_CYCLE,0.0219442646017782,0.0626978988622235,0.352487857583619,-0.671887605067558,-1.68626808006221,6,Ywhah|Ywhab|Ywhag|Ywhae|Ywhaz
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.0208267199989467,0.0626978988622235,0.352487857583619,-0.53328282547176,-1.75625769683973,14,Calm3|Ywhah|Calm1|Ywhab|Ywhag|Ywhae|Maged1
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0240849672273826,0.0642265792730204,0.352487857583619,-0.553205528713368,-1.73405722278476,12,Actg1|Actb|Cfl1|Tmsb4x
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.0296811325807179,0.0742028314517948,0.352487857583619,-0.640169143604664,-1.67805654209057,7,Actg1|Actb
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0424409300241025,0.0998610118214177,0.321775918075361,-0.637841687648007,-1.60082143189068,6,Actg1|Actb|Atp2a2|Dmd
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.0682656826568266,0.150928792569659,0.234392647294686,-0.591055151307072,-1.54931547903481,7,Actg1|Actb
KEGG_DILATED_CARDIOMYOPATHY,0.0716911764705882,0.150928792569659,0.227987202850442,-0.560830555657406,-1.54560568709121,8,Actg1|Actb|Gnas|Atp2a2|Dmd
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.087719298245614,0.167084377610693,0.224966093540314,0.475664289733567,1.46496093008454,9,Hcrtr2|Rxfp1|Nr3c1|Htr1f
KEGG_PATHWAYS_IN_CANCER,0.0867158671586716,0.167084377610693,0.206587922696891,-0.577546039420511,-1.51390444149022,7,Hsp90aa1|Hsp90ab1
KEGG_ADHERENS_JUNCTION,0.107011070110701,0.194565582019457,0.184706471207739,-0.572990412804065,-1.43806112213666,6,Actg1|Actb
KEGG_FOCAL_ADHESION,0.131810193321617,0.229235118820203,0.160801401070022,-0.479770159577656,-1.40087132721162,10,Actg1|Actb
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.145220588235294,0.24203431372549,0.156312403073186,-0.513678454475946,-1.41565813874671,8,Calm3|Myl6|Calm1
KEGG_GLIOMA,0.16789667896679,0.268634686346863,0.144630528034484,-0.530924048302458,-1.33248517882663,6,Calm3|Calm1
KEGG_GNRH_SIGNALING_PATHWAY,0.197781885397412,0.304279823688327,0.132147260608774,-0.554153618917407,-1.28866280072878,5,Calm3|Calm1|Gnas|Calm2
KEGG_MELANOGENESIS,0.228782287822878,0.33893672270056,0.121543282035469,-0.494008177122441,-1.23983567205044,6,Calm3|Calm1|Gnas|Calm2
KEGG_CALCIUM_SIGNALING_PATHWAY,0.298187808896211,0.425982584137444,0.0972150808846466,-0.349420512021358,-1.15074484749872,14,Calm3|Slc25a4|Calm1|Gnas|Atp2a2
KEGG_LONG_TERM_POTENTIATION,0.316849816849817,0.437034230137679,0.0999276973731092,-0.405546904232168,-1.14396922200766,9,Calm3|Calm1
KEGG_LONG_TERM_DEPRESSION,0.376383763837638,0.501845018450185,0.0902635484340068,-0.409365892443219,-1.07305877014796,7,Ppp2r1a|Gnas|Gria3|Gria2|Gria1|Prkcg
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.395220588235294,0.509962049335863,0.0873098257637931,-0.384208821047493,-1.05884983057944,8,Calm3|Calm1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.412199630314233,0.515249537892791,0.0852884689790502,-0.446691141577571,-1.03876296737112,5,Cfl1
KEGG_INSULIN_SIGNALING_PATHWAY,0.431985294117647,0.523618538324421,0.0824344091527096,-0.371047766373189,-1.02257898059182,8,Calm3|Calm1|Prkar1a
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.523105360443623,0.600340036348713,0.0727141077934447,-0.402335516699879,-0.935615677825976,5,Negr1|Neo1|Cdh2|Nlgn1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.55,0.600340036348713,0.0785029047348687,0.335342184701986,0.925701753874818,7,Adcy8|Gnb4|Shc3
KEGG_ENDOCYTOSIS,0.547134935304991,0.600340036348713,0.0704500850658419,-0.39039028190422,-0.907837496466791,5,Hspa8
KEGG_PURINE_METABOLISM,0.55531453362256,0.600340036348713,0.0778840111977068,0.382813892927444,0.919253507680549,5,Polr1a|Adcy8
KEGG_ERBB_SIGNALING_PATHWAY,0.585152838427948,0.615950356239945,0.0755015292281669,0.304270462633452,0.892638485858302,8,Shc3|Nck2|Nrg2|Prkcg|Nrg1|Nrg3|Akt3|Ptk2
KEGG_MAPK_SIGNALING_PATHWAY,0.890572390572391,0.913407580074247,0.0431036828790402,-0.197653855221495,-0.633131911936882,13,Hspa8
KEGG_AXON_GUIDANCE,0.950576606260297,0.950576606260297,0.0391155247681459,-0.168315365103759,-0.554312161090813,14,Cfl1
