pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,2.82502537823357e-05,0.000395503552952699,0.575610261071129,-0.805555555555556,-2.48811921205092,8,Actb|Tubb5|Tuba1a|Tuba1b|Tubb2b|Tubb2a|Tubb3|Actg1
KEGG_GAP_JUNCTION,0.00130538580707706,0.00913770064953944,0.45505986738723,-0.733644805462146,-2.13434377517095,7,Tubb5|Tuba1a|Tuba1b|Tubb2b|Tubb2a|Tubb3
KEGG_ALZHEIMERS_DISEASE,0.0423557344053121,0.197660093891456,0.321775918075361,-0.671232876712329,-1.67838949633748,5,Cacna1c|Atp5b|Cacna1d|Mapt|mt-Co3
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.0916666666666667,0.232827187274042,0.213927855492356,-0.46028204605407,-1.42167302286112,8,Actb|Cacna1c|Actg1|Cacna1d|Cdh2
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.0854166666666667,0.232827187274042,0.222056046145248,-0.464637842688941,-1.43512677067065,8,Negr1|Nrxn2|Cdh2|Cadm1|Ncam1|Neo1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0997830802603037,0.232827187274042,0.208955027549354,-0.545747286117224,-1.48527216780275,6,Actb|Cacna1c|Actg1|Cacna1d
KEGG_AXON_GUIDANCE,0.182403433476395,0.319206008583691,0.150169802128406,-0.4,-1.27700674627369,9,Unc5d|Dpysl2|Srgap3|Robo1|Dcc|Robo2|Epha5|Epha6|Epha7
KEGG_DILATED_CARDIOMYOPATHY,0.167770419426049,0.319206008583691,0.159646701919906,-0.44591929134481,-1.29728317657876,7,Actb|Cacna1c|Actg1|Cacna1d
KEGG_MAPK_SIGNALING_PATHWAY,0.236203090507726,0.367427029678685,0.132147260608774,-0.415309346056483,-1.20823170957722,7,Cacna1c|Stmn1|Cacna1d|Mapt|Cacna1b
KEGG_FOCAL_ADHESION,0.553903345724907,0.77546468401487,0.070113215764256,0.372987029737156,0.927854437161514,5,Vcl|Shc3|Itga8
KEGG_CALCIUM_SIGNALING_PATHWAY,0.613882863340564,0.781305462433445,0.0727141077934447,-0.311926605504587,-0.848920218823842,6,Cacna1c|Cacna1d|Cacna1b|Atp2b1|Chrm3|Adcy8
KEGG_ADHERENS_JUNCTION,0.832720588235294,0.929359823399558,0.0501934252649434,0.264384984974408,0.712689674020988,6,Vcl|Lmo7|Ptpn1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.905204460966543,0.929359823399558,0.0468819856878333,0.260035363930925,0.646872269022986,5,Htr1f|Chrm3|Gria2|Grm7
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.929359823399558,0.929359823399558,0.0535669384770951,-0.215444765834328,-0.626779050881439,7,Actb
