pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_ALZHEIMERS_DISEASE,1.09573776539417e-05,0.000219147553078835,0.593325476396405,-0.838763059187016,-2.35147193276763,8,Gapdh|mt-Co1|mt-Co3|Atp5b|App|mt-Co2|Grin2a
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,9.39991021611814e-05,0.000939991021611814,0.538434096309916,-0.843620831448473,-2.17136035309389,6,Actg1|Tubb2a|Tuba1a|Actb|Tubb2b
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.000256805892099344,0.00171203928066229,0.49849310876659,-0.817475624350402,-2.10406629870372,6,mt-Co1|mt-Co3|Atp1b1|Atp1a3|mt-Co2
KEGG_PARKINSONS_DISEASE,0.00426229209929734,0.0213114604964867,0.407017918923954,-0.7222661873622,-1.85901071329147,6,Ubb|mt-Co1|mt-Co3|Atp5b|mt-Co2
KEGG_TIGHT_JUNCTION,0.0235841438993,0.0943365755972,0.352487857583619,-0.637764602122423,-1.64151561937801,6,Actg1|Actb|Ppp2r2b|Akt3
KEGG_GAP_JUNCTION,0.0544354838709677,0.181451612903226,0.276500599254472,-0.664441088507787,-1.55572158899227,5,Tubb2a|Tuba1a|Tubb2b
KEGG_ADHERENS_JUNCTION,0.151209677419355,0.432027649769585,0.160801401070022,-0.569118272097948,-1.33253285792602,5,Actg1|Actb
KEGG_FOCAL_ADHESION,0.323529411764706,0.65979381443299,0.102821842840815,-0.4177214405672,-1.12806994998065,7,Actg1|Actb|Akt3
KEGG_MAPK_SIGNALING_PATHWAY,0.418891170431212,0.65979381443299,0.0902635484340068,0.28799847084106,1.03076244926378,13,Ptprr|Ntf3|Tab2|Rps6ka2|Rasa2
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.366315789473684,0.65979381443299,0.0995791200495904,0.352711107533269,1.0863430022486,9,Ntf3|Rps6ka2|Irs1|Rapgef1|Mapk8|Nfkb1|Raf1|Camk4
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.320564516129032,0.65979381443299,0.105125131597001,-0.483434070917844,-1.13191196930696,5,Hsp90aa1|Hsp90ab1
KEGG_PANCREATIC_CANCER,0.461855670103093,0.65979381443299,0.0850427463764322,0.376112341596283,0.978462009843623,6,Tgfa|Mapk8|Nfkb1|Tgfbr1|Raf1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.407843137254902,0.65979381443299,0.0891647117820678,-0.387464274638074,-1.04635951728205,7,Hsp90aa1|Hsp90ab1|Akt3
KEGG_PROSTATE_CANCER,0.431334622823985,0.65979381443299,0.0852884689790502,-0.396506060989552,-1.02055035686578,6,Hsp90aa1|Hsp90ab1|Akt3
KEGG_ERBB_SIGNALING_PATHWAY,0.519587628865979,0.672680412371134,0.0787113806986485,0.360229811032851,0.937143363636634,6,Tgfa|Mapk8|Nck2|Raf1
KEGG_INSULIN_SIGNALING_PATHWAY,0.538144329896907,0.672680412371134,0.0768736734126542,0.352912468315595,0.918107184628379,6,Prkar2b|Irs1|Rapgef1|Mapk8|Raf1
KEGG_PATHWAYS_IN_CANCER,0.679316888045541,0.799196338877107,0.0611692626746689,-0.276110756648524,-0.815512147764487,9,Hsp90aa1|Hsp90ab1|Akt3
KEGG_AXON_GUIDANCE,0.767295597484277,0.852550663871419,0.0601186142531851,0.213788257875573,0.778279640644826,14,Sema3c|Ablim3|Gnai1|Sema3e|Sema6d|Nck2|L1cam|Robo1|Sema4d|Epha4|Sema5a|Plxna2|Slit3
KEGG_LONG_TERM_POTENTIATION,0.903288201160542,0.950829685432149,0.0487989701682839,-0.240616428380721,-0.619312555371466,6,Grin2a|Gria2|Cacna1c|Camk4|Raf1
KEGG_CALCIUM_SIGNALING_PATHWAY,0.976470588235294,0.976470588235294,0.0458620343117985,-0.182697036269866,-0.493379119555643,7,Grin2a|Cacna1e|Atp2b1|Cacna1c|Camk4
