pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_FOCAL_ADHESION,0.00238526892710298,0.0333937649794417,0.431707695803346,0.791194267520221,1.92906757605695,5,Col11a1|Met|Fn1|Prkcg
KEGG_ADHERENS_JUNCTION,0.188259109311741,0.626968503937008,0.142901149386948,0.490395500533819,1.2794902914398,6,Met|Nectin1|Ssx2ip|Pard3
KEGG_AXON_GUIDANCE,0.318872017353579,0.626968503937008,0.110122263835536,0.301602021848909,1.12576310460202,16,Met|Srgap1|Dpysl5|Epha3|Sema6a|Ephb2|Dcc|Slit1|L1cam
KEGG_CALCIUM_SIGNALING_PATHWAY,0.285992217898833,0.626968503937008,0.110122263835536,-0.421527862404627,-1.15150272661346,7,Ptk2b|Plcb1|Cacna1d|Cacna1b|Cacna1a|Camk2d
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.262096774193548,0.626968503937008,0.118287526124085,-0.492911997025512,-1.17561418598732,5,Ptk2b|Cx3cl1|Plcb1
KEGG_ENDOCYTOSIS,0.266798418972332,0.626968503937008,0.115734447701689,0.477010660334553,1.1630339551991,5,Met|Wwp1|Pard3|Dnm2
KEGG_GNRH_SIGNALING_PATHWAY,0.358267716535433,0.626968503937008,0.096887770327544,-0.419315777349608,-1.09004504608486,6,Ptk2b|Plcb1|Mapk10|Cacna1d|Camk2d
KEGG_PATHWAYS_IN_CANCER,0.27536231884058,0.626968503937008,0.116739204791222,0.351117390046519,1.14426945197108,11,Met|Fn1|Prkcg|Dcc|Rala|Traf3|Dvl1|Fgf13
KEGG_MAPK_SIGNALING_PATHWAY,0.513671875,0.799045138888889,0.0764767053228531,-0.308794785092302,-0.913341468776889,9,Rasgrp1|Ntrk2|Mapk10|Cacna1d|Cacna1b|Cacna1a|Fgf13|Map4k4
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.928853754940711,0.977732793522267,0.048505983646947,0.24702380952381,0.602286494011118,5,Nectin1|L1cam|Nrxn1|Nrxn3|Cntnap2
KEGG_LONG_TERM_DEPRESSION,0.901209677419355,0.977732793522267,0.0508054139066364,-0.268277234257705,-0.63985158461152,5,Gria3|Plcb1
KEGG_MELANOGENESIS,0.977732793522267,0.977732793522267,0.0472587336673259,0.202799168159063,0.529123057795456,6,Prkcg|Adcy5|Dvl1|Gnao1|Camk2d
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.727272727272727,0.977732793522267,0.0598603117764473,0.325788482515316,0.794328300990918,5,Prkcg|Adcy5
KEGG_WNT_SIGNALING_PATHWAY,0.941634241245136,0.977732793522267,0.0471642455670861,-0.215334827715592,-0.588237844670222,7,Plcb1|Mapk10|Camk2d|Prickle2|Dvl1|Daam1
