pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_PARKINSONS_DISEASE,4.54870331742727e-11,1.04620176300827e-09,0.851339057116899,-0.898781995514725,-3.14540058571419,12,Ubb|mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|Uchl1|mt-Atp6|Atp5b
KEGG_OXIDATIVE_PHOSPHORYLATION,3.61408592926899e-10,4.15619881865934e-09,0.814035837847908,-0.918918918918919,-3.0035048151745,10,mt-Co3|mt-Co1|mt-Nd2|mt-Nd4|mt-Nd1|mt-Cytb|mt-Co2|Atp6v0c|mt-Atp6|Atp5b
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,6.59638074571611e-10,5.05722523838235e-09,0.801215574617779,-0.943283582089552,-2.82307108813737,8,Tubb2a|Tuba1a|Tubb2b|Tubb5|Actb|Actg1|Tuba1b|Tubb3
KEGG_ALZHEIMERS_DISEASE,1.51536899299719e-06,8.71337170973384e-06,0.643551836150722,-0.81967664130876,-2.67912945132665,10,mt-Co3|mt-Co1|Gapdh|mt-Cytb|mt-Co2|mt-Atp6|Calm1|Atp5b
KEGG_GAP_JUNCTION,3.36723896368858e-06,1.54892992329675e-05,0.627256739718528,-0.882968676386582,-2.48560585560263,7,Tubb2a|Tuba1a|Tubb2b|Tubb5|Tuba1b|Tubb3
KEGG_HUNTINGTONS_DISEASE,0.000121066672554914,0.000464088911460504,0.538434096309916,-0.783757324430095,-2.34563887756126,8,mt-Co3|mt-Co1|mt-Cytb|mt-Co2|mt-Atp6|Atp5b|Grm5
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.00038206897020555,0.00125536947353252,0.49849310876659,-0.772920501994055,-2.17581413367219,7,mt-Co3|mt-Co1|mt-Cytb|mt-Co2|Atp1a3
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.0372786475357301,0.0857408893321791,0.321775918075361,-0.664163065801821,-1.62283546891878,5,Actb|Actg1
KEGG_DILATED_CARDIOMYOPATHY,0.0372786475357301,0.0857408893321791,0.321775918075361,-0.664163065801821,-1.62283546891878,5,Actb|Actg1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.0372786475357301,0.0857408893321791,0.321775918075361,-0.664163065801821,-1.62283546891878,5,Actb|Actg1
KEGG_CALCIUM_SIGNALING_PATHWAY,0.0614754098360656,0.128539493293592,0.261663521711573,-0.618343195266272,-1.51087785652643,5,Calm1|Grm5|Pde1a|Slc8a1|Slc8a3
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.0778688524590164,0.14891321103746,0.231126709673834,-0.595989460400144,-1.4562580866665,5,Marcks|Cfl1|Akt3
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0841683366733467,0.14891321103746,0.219250346703755,-0.491937887871924,-1.47227796049857,8,Actb|Actg1|Cfl1
KEGG_FOCAL_ADHESION,0.102459016393443,0.168325526932084,0.199915231309662,-0.566938744051916,-1.38527471629422,5,Actb|Actg1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.141393442622951,0.216803278688525,0.16823816568964,-0.532755067792964,-1.30174932148159,5,Actb|Actg1
KEGG_PATHWAYS_IN_CANCER,0.190669371196755,0.243633085418075,0.142056643575821,-0.47273327889702,-1.23832681018017,6,Hsp90aa1|Hsp90ab1
KEGG_PROSTATE_CANCER,0.190669371196755,0.243633085418075,0.142056643575821,-0.47273327889702,-1.23832681018017,6,Hsp90aa1|Hsp90ab1
KEGG_TIGHT_JUNCTION,0.174442190669371,0.243633085418075,0.149207542435322,-0.485163156029822,-1.27088692555158,6,Actb|Actg1
KEGG_AXON_GUIDANCE,0.483101391650099,0.584806947786962,0.0806388495950661,0.334738616351345,0.964555883293686,8,Sema5b|Sema5a|Ephb2
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.589494163424125,0.616289352670676,0.0692836467392548,0.375292955724461,0.898127551903032,5,Jam3|Vcan|Nrxn3|Nrxn1|Cadm1
KEGG_ENDOCYTOSIS,0.579918032786885,0.616289352670676,0.0727141077934447,-0.371574501275986,-0.907916008982659,5,Hspa8
KEGG_MAPK_SIGNALING_PATHWAY,0.577551020408163,0.616289352670676,0.0727141077934447,-0.283457821468434,-0.892814116619627,9,Hspa8|Stmn1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.984375,0.984375,0.0453152441270267,0.157671095108341,0.472871225245763,9,Htr1f|Oprm1|Gabra4|Gabbr2|Grm3|Rxfp1|Gria2|Grid1|Grm5
