pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,6.69077486445083e-16,1.56564131828149e-13,1.02766987054358,-0.752957751778845,-3.38020209676057,39,Ubb|Tubb2b|Tuba1a|Tubb2a|Hsp90aa1|Hspa8|Hsp90ab1|Tuba1b|mt-Co1|mt-Co3|Tubb4b|Tubb3|Rpl19|Atp6v0c|Ndufa4|Rpl38|Rps29|Eef1a1|Dnaja1|Dynll1|Cox6a1|mt-Co2|Cox4i1|H3f3b|Cox6c|Cox7c|Ywhae|Rplp1|Rplp2|Calr|Xpo1
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,2.37475119299002e-13,2.77845889579832e-11,0.932595211336209,-0.971479500891266,-2.74261318431688,9,Ubb|Tubb2b|Tuba1a|Tubb2a|Hsp90aa1|Hsp90ab1|Tuba1b|Tubb4b|Tubb3
REACTOME_INFECTIOUS_DISEASE,6.8159209863135e-13,5.31641836932453e-11,0.921426003494898,-0.683205797540703,-3.16543176310191,45,Ubb|Tubb2b|Tuba1a|Actg1|Tubb2a|Actb|Hsp90aa1|Ppia|Tubb5|Hsp90ab1|Tuba1b|Tubb4b|Tubb3|Rpl19|Rpl38|Rps29|Slc25a4|Calm1|Atp1b1|Dynll1|Gnb2|Atp1a3|Hnrnpk|Rplp1|Chd4|Rplp2|Prkar1a|Calr|Xpo1|Gnas|Rpsa|Chd3
REACTOME_RHO_GTPASE_EFFECTORS,3.5366251547471e-12,2.06892571552705e-10,0.898671232061694,-0.793730924164409,-3.11340891333797,24,Tubb2b|Tuba1a|Actg1|Tubb2a|Actb|Tuba1b|Cfl1|Tubb4b|Tubb3|Myl6|Ppp2r1a|Ywhah|Calm1|Dynll1|Ywhab|H3f3b|Ywhag|Ywhae
REACTOME_AUTOPHAGY,1.30073362526291e-11,6.08743336623043e-10,0.875325132024659,-0.900127488548057,-2.87404087540946,13,Ubb|Tubb2b|Tuba1a|Tubb2a|Hsp90aa1|Hspa8|Hsp90ab1|Tuba1b|Tubb4b|Tubb3|Eef1a1|Dynll1
REACTOME_INNATE_IMMUNE_SYSTEM,2.56050268651673e-11,9.98596047741523e-10,0.863415391606693,-0.711883029020658,-3.06931358657039,34,Ubb|Aldoa|Actg1|Actb|Hsp90aa1|Ppia|Tubb5|Hspa8|Hsp90ab1|Cfl1|Tubb4b|Atp6v0c|Ppp2r1a|Calm1|Eef1a1|Dynll1|Psap|Pkm|Fth1|Cst3
REACTOME_SELECTIVE_AUTOPHAGY,9.07968534552066e-11,3.03520910121691e-09,0.839088935621274,-0.921428571428571,-2.70209299450741,10,Ubb|Tubb2b|Tuba1a|Tubb2a|Hsp90aa1|Hspa8|Tuba1b|Tubb4b|Tubb3|Dynll1
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,1.51104011877283e-10,4.41979234741052e-09,0.826657301178302,-0.906058053847536,-2.75646305443544,11,Tubb2b|Tuba1a|Actg1|Tubb2a|Actb|Tuba1b|Tubb4b|Tubb3|Calm1
REACTOME_L1CAM_INTERACTIONS,2.33570997606523e-10,6.0728459377696e-09,0.814035837847908,-0.865285715259636,-2.8229761906705,14,Tubb2b|Tuba1a|Actg1|Tubb2a|Actb|Hspa8|Tuba1b|Tubb4b|Tubb3
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,2.96599463976357e-10,6.30947950640615e-09,0.814035837847908,-0.935148104803684,-2.64004492032055,9,Tubb2b|Tuba1a|Actg1|Tubb2a|Actb|Tuba1b|Tubb4b|Tubb3
