pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,6.1277449045161e-06,0.000839501051918706,0.610526878385931,-0.548331753828592,-2.57912833286575,29,Cfl1|Hsp90aa1|Ppp2r1a|Arhgef26|Ranbp2|Peak1|Myl6|Actg1|Tubb2b|Calm1|Ywhah|Plxna1|Ckb|Tuba1b|Wasl|Wipf3|Tuba1a|Ppp2ca|Tubb2a|Ywhaz|Hsp90ab1|Cltc|Xpo1
REACTOME_INNATE_IMMUNE_SYSTEM,2.22698055678164e-05,0.00152548168139543,0.575610261071129,-0.558537346104661,-2.52866548265198,26,Cfl1|Aldoa|Rab3a|Hsp90aa1|Ppia|Ppp2r1a|Kpnb1|Ubb|Fth1|Atp6v0c|Pkm|Actg1|Calm1|Wasl|Capza2|Wipf3|Atp6v1a|Ppp2ca|Ube2d3|Dnm1|Hsp90ab1
REACTOME_DEVELOPMENTAL_BIOLOGY,8.61229676287809e-05,0.00342180622545053,0.538434096309916,-0.505775526540912,-2.37896124283098,29,Cfl1|Hsp90aa1|Pkp2|Rps10|Rpl19|Ubb|Myl6|Actg1|Tubb2b|Rpsa|Plxna1|Rplp1|Tuba1b|Wasl|Rpl23|Tuba1a|Rpl13|Tubb2a|Dnm1|Hsp90ab1|Cltc|Akt3|Actb|Unc5c|Hspa8
REACTOME_METABOLISM_OF_CARBOHYDRATES,0.000103936853665791,0.00342180622545053,0.538434096309916,-0.727272727272727,-2.30367220716172,10,Aldoa|Pom121|Gapdh|Ppp2r1a|Ranbp2|Ubb|Pkm|Calm1|Mdh1|Ppp2ca
REACTOME_RHO_GTPASE_EFFECTORS,0.000124883438885056,0.00342180622545053,0.518848077743792,-0.575670924734444,-2.35063853723657,19,Cfl1|Ppp2r1a|Ranbp2|Myl6|Actg1|Tubb2b|Calm1|Ywhah|Tuba1b|Wasl|Wipf3|Tuba1a|Ppp2ca|Tubb2a|Ywhaz
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0.000167853172121332,0.00383264743010374,0.518848077743792,-0.511900908393517,-2.34024146523128,27,Cfl1|Hsp90aa1|Rps10|Rpl19|Ubb|Myl6|Actg1|Tubb2b|Rpsa|Plxna1|Rplp1|Tuba1b|Wasl|Rpl23|Tuba1a|Rpl13|Tubb2a|Dnm1|Hsp90ab1|Cltc
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.000318494710398935,0.00557760992535911,0.49849310876659,-0.554481686553985,-2.26411646759297,19,Ppia|Ppp2r1a|Ubb|Tubb2b|Calm1|Tuba1b|Capza2|Pja2|Tuba1a|Ppp2ca|Rnf182|Tubb2a|Ube2d3|Ywhaz|Dnm1|Cltc
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.000334962137587914,0.00557760992535911,0.49849310876659,-0.728448275862069,-2.22632192210114,9,Rps10|Rpl19|Azin1|Rpsa|Ckb|Rplp1|Serinc1|Rpl23|Rpl13
REACTOME_NEUTROPHIL_DEGRANULATION,0.000366412330863007,0.00557760992535911,0.49849310876659,-0.663121347393488,-2.18456816897178,11,Aldoa|Rab3a|Hsp90aa1|Ppia|Kpnb1|Fth1|Atp6v0c|Pkm
REACTOME_INFECTIOUS_DISEASE,0.00042969199743046,0.0058867803647973,0.49849310876659,-0.455041792233486,-2.21097855087764,34,Hsp90aa1|Pom121|Ppia|Rps10|Rpl19|Kpnb1|Ranbp2|Ubb|Rnmt|Actg1|Tubb2b|Calm1|Rpsa|Rplp1|Tuba1b|Wasl|Wipf3|Rpl23|Slc25a4|Tuba1a|Rpl13|Tubb2a
REACTOME_GLYCOLYSIS,0.000531570823005214,0.00662047297742858,0.477270815362862,-0.751253564826024,-2.08307007355086,7,Aldoa|Pom121|Gapdh|Ppp2r1a|Ranbp2|Pkm
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,0.000773507294806554,0.0088308749490415,0.477270815362862,-0.608918773955763,-2.07897222059428,12,Pom121|Ppp2r1a|Kpnb1|Ranbp2|Ubb|Tubb2b|Tuba1b|Tuba1a|Ppp2ca|Tubb2a
REACTOME_GLUCOSE_METABOLISM,0.00103631167231701,0.010141049936245,0.45505986738723,-0.721030042918455,-2.07873580170493,8,Aldoa|Pom121|Gapdh|Ppp2r1a|Ranbp2|Pkm|Mdh1|Ppp2ca
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,0.00103631167231701,0.010141049936245,0.45505986738723,-0.721030042918455,-2.07873580170493,8,Rps10|Ppp2r1a|Rpl19|Rpsa|Rplp1|Rpl23|Rpl13|Ppp2ca
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,0.00127904539993986,0.0116819479861174,0.45505986738723,-0.71244635193133,-2.05398894692273,8,Pom121|Ppp2r1a|Kpnb1|Tubb2b|Tuba1b|Tuba1a|Ppp2ca|Tubb2a
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.00137166475596812,0.011744879472977,0.45505986738723,-0.563640790494845,-2.08116110677601,15,Cfl1|Hsp90aa1|Pom121|Ppia|Ppp2r1a|Kpnb1|Ranbp2|Ubb
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,0.00159801085005487,0.0128780874386775,0.45505986738723,-0.722222222222222,-2.0025721913385,7,Rps10|Rpl19|Ubb|Rpsa|Rplp1|Rpl23|Rpl13
REACTOME_HIV_LIFE_CYCLE,0.00222962930431551,0.0169699563717347,0.431707695803346,-0.752789128290058,-1.98554473601557,6,Pom121|Ppia|Ranbp2|Ubb|Rnmt
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.00262439927161541,0.0179771350105656,0.431707695803346,-0.45202185910013,-2.01712056316109,25,Hsp90aa1|Pom121|Rps10|Rpl19|Ranbp2|Ubb|Atp6v0c|Tubb2b|Rpsa|Rplp1|Tuba1b|Capza2|Rpl23|Tuba1a|Atp6v1a|Rpl13|Tubb2a|Ube2d3
REACTOME_HIV_INFECTION,0.00253319488242808,0.0179771350105656,0.431707695803346,-0.679139232465885,-1.95796423565794,8,Pom121|Ppia|Kpnb1|Ranbp2|Ubb|Rnmt
REACTOME_INFLUENZA_INFECTION,0.00299250748053066,0.0195225488015571,0.431707695803346,-0.557880685589805,-1.95578631982057,13,Hsp90aa1|Pom121|Rps10|Rpl19|Kpnb1|Ranbp2|Rpsa|Rplp1|Rpl23|Rpl13|Cltc|Xpo1
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,0.0038732348106792,0.0221097153776271,0.431707695803346,-0.67948717948718,-1.88407679540131,7,Rps10|Rpl19|Rpsa|Rplp1|Rpl23|Rpl13|Eif4a2
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,0.00357886364379356,0.0221097153776271,0.431707695803346,-0.683809277859309,-1.89606107633581,7,Pom121|Ppia|Kpnb1|Ranbp2|Ubb
REACTOME_TRANSLATION,0.0038732348106792,0.0221097153776271,0.431707695803346,-0.67948717948718,-1.88407679540131,7,Rps10|Rpl19|Rpsa|Rplp1|Rpl23|Rpl13|Eif4a2
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,0.0040354343547892,0.0221141802642448,0.407017918923954,-0.66141066682233,-1.90685262875877,8,Rps10|Rpl19|Ubb|Rpsa|Rplp1|Rpl23|Rpl13
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.0045901917713133,0.0221557522961613,0.407017918923954,-0.749357839267126,-1.82639880510381,5,Pom121|Kpnb1|Ranbp2|Ubb
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,0.00485162459040028,0.0221557522961613,0.407017918923954,-0.719148936170213,-1.89681589566445,6,Rps10|Rpl19|Rpsa|Rplp1|Rpl23|Rpl13
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,0.00485162459040028,0.0221557522961613,0.407017918923954,-0.719148936170213,-1.89681589566445,6,Rps10|Rpl19|Rpsa|Rplp1|Rpl23|Rpl13
REACTOME_SELENOAMINO_ACID_METABOLISM,0.00485162459040028,0.0221557522961613,0.407017918923954,-0.719148936170213,-1.89681589566445,6,Rps10|Rpl19|Rpsa|Rplp1|Rpl23|Rpl13
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,0.00485162459040028,0.0221557522961613,0.407017918923954,-0.719148936170213,-1.89681589566445,6,Rps10|Rpl19|Rpsa|Rplp1|Rpl23|Rpl13
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,0.00516857572211045,0.0228417701267462,0.407017918923954,-0.635515159641647,-1.94229484593592,9,Rps10|Rpl19|Atp6v0c|Rpsa|Rplp1|Rpl23|Atp6v1a|Rpl13
REACTOME_SIGNALING_BY_INTERLEUKINS,0.00592110518772637,0.0252680188708477,0.407017918923954,-0.648754659284032,-1.8703652504104,8,Cfl1|Hsp90aa1|Ppia|Ppp2r1a|Ubb
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,0.00608645710027717,0.0252680188708477,0.407017918923954,-0.658119658119658,-1.82482909743271,7,Hsp90aa1|Ubb|Tubb2b|Tuba1b|Tuba1a|Tubb2a|Hsp90ab1
REACTOME_HEMOSTASIS,0.00666074043588483,0.0268388658740065,0.407017918923954,-0.457163130029564,-1.91938177419746,20,Cfl1|Aldoa|Ppia|Ppp2r1a|Tubb2b|Calm1|Tuba1b|Capza2|Tmsb4x|Tuba1a|Ppp2ca|Tubb2a|Ywhaz
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0.0088579469146626,0.0333495637863905,0.380730400722792,-0.689271239487926,-1.81801095395848,6,Hsp90aa1|Pom121|Ranbp2|Ubb
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,0.0088579469146626,0.0333495637863905,0.380730400722792,-0.578464597755405,-1.83231512292965,10,Ppp2r1a|Ranbp2|Ubb|Tubb2b|Tuba1b|Tuba1a|Ppp2ca|Tubb2a|Xpo1
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,0.00900681649705438,0.0333495637863905,0.380730400722792,-0.578270919142402,-1.83170163637754,10,Actg1|Tubb2b|Calm1|Ywhah|Tuba1b|Tuba1a|Tubb2a|Ywhaz
REACTOME_RHO_GTPASE_CYCLE,0.0102208855991368,0.0368489822916247,0.380730400722792,-0.477483534119547,-1.82886382988042,16,Hsp90aa1|Arhgef26|Peak1|Actg1|Plxna1|Ckb|Tuba1b|Wasl|Wipf3|Hsp90ab1|Cltc|Stmn2|Actb|Nckap1
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,0.0123797420400049,0.0411269857316908,0.380730400722792,-0.703389830508475,-1.71436165560002,5,Tubb2b|Calm1|Tuba1b|Tuba1a|Tubb2a
REACTOME_AGGREPHAGY,0.0132709672642637,0.0411269857316908,0.380730400722792,-0.619906340028865,-1.71887150461324,7,Hsp90aa1|Ubb|Tubb2b|Tuba1b|Tuba1a|Tubb2a
REACTOME_HCMV_EARLY_EVENTS,0.0137157996032536,0.0411269857316908,0.380730400722792,-0.61877749892373,-1.71574146272859,7,Pom121|Ranbp2|Tubb2b|Tuba1b|Tuba1a|Tubb2a
REACTOME_HCMV_INFECTION,0.0137157996032536,0.0411269857316908,0.380730400722792,-0.61877749892373,-1.71574146272859,7,Pom121|Ranbp2|Tubb2b|Tuba1b|Tuba1a|Tubb2a
REACTOME_HEDGEHOG_OFF_STATE,0.0123797420400049,0.0411269857316908,0.380730400722792,-0.703389830508475,-1.71436165560002,5,Ubb|Tubb2b|Tuba1b|Tuba1a|Tubb2a
REACTOME_MEMBRANE_TRAFFICKING,0.0138090609026115,0.0411269857316908,0.380730400722792,-0.406963572246769,-1.75922652914563,23,Rab3a|Ubb|Fth1|Actg1|Tubb2b|Calm1|Ywhah|Tuba1b|Wasl|Capza2|Tuba1a|Tubb2a|Ywhaz|Dnm1|Cltc|Akt3|Actb|Hspa8
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,0.0132709672642637,0.0411269857316908,0.380730400722792,-0.620200960780324,-1.71968842675398,7,Actg1|Tubb2b|Calm1|Tuba1b|Tuba1a|Tubb2a
REACTOME_SIGNALING_BY_HEDGEHOG,0.0123797420400049,0.0411269857316908,0.380730400722792,-0.703389830508475,-1.71436165560002,5,Ubb|Tubb2b|Tuba1b|Tuba1a|Tubb2a
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,0.0147852236828449,0.0430973541393564,0.380730400722792,-0.525010652607724,-1.72958021117267,11,Ppp2r1a|Ranbp2|Actg1|Tubb2b|Tuba1b|Tuba1a|Ppp2ca|Tubb2a|Xpo1
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.0160081234801952,0.0456898524330573,0.352487857583619,-0.660517518523002,-1.74217059288359,6,Cfl1|Aldoa|Ppia|Calm1|Tmsb4x
REACTOME_CELL_CYCLE,0.0178909753723334,0.0500217066532588,0.352487857583619,-0.420207062447493,-1.76422314940099,20,Hsp90aa1|Pom121|Ppp2r1a|Kpnb1|Ranbp2|Ubb|Tubb2b|Ywhah|Tuba1b|Tuba1a|Ppp2ca|Tubb2a|Ywhaz|Hsp90ab1|Xpo1
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,0.0195205534489817,0.0526337052404099,0.352487857583619,-0.592494243563316,-1.64286345556805,7,Cfl1|Aldoa|Ppia|Calm1|Tmsb4x|Ywhaz
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,0.0199777567335862,0.0526337052404099,0.352487857583619,-0.567012909510509,-1.73293466727433,9,Ppp2r1a|Ranbp2|Tubb2b|Tuba1b|Tuba1a|Ppp2ca|Tubb2a|Xpo1
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.0197966016795734,0.0526337052404099,0.352487857583619,-0.387752170700984,-1.73032091520611,25,Rab3a|Hsp90aa1|Ubb|Fth1|Actg1|Tubb2b|Calm1|Ywhah|Tuba1b|Wasl|Capza2|Tuba1a|Tubb2a|Ywhaz|Dnm1|Cltc
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,0.0226721736680289,0.0586054300475463,0.352487857583619,-0.449956483461195,-1.66139844545141,15,Hsp90aa1|Ppp2r1a|Ubb|Atp6v0c|Actg1|Calm1|Atp6v1a|Ppp2ca|Dnm1|Cltc|Akt3|Actb|Nckap1
REACTOME_M_PHASE,0.0245095269689481,0.0621815776804795,0.352487857583619,-0.436695295761061,-1.67263617282429,16,Hsp90aa1|Pom121|Ppp2r1a|Kpnb1|Ranbp2|Ubb|Tubb2b|Tuba1b|Tuba1a|Ppp2ca|Tubb2a
REACTOME_SEMAPHORIN_INTERACTIONS,0.0271004759099771,0.0670748011056988,0.352487857583619,-0.666115684006882,-1.62351392830014,5,Cfl1|Hsp90aa1|Myl6|Plxna1
