pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_INFECTIOUS_DISEASE,0.000625238477803424,0.0100038156448548,0.477270815362862,-0.769051182961654,-2.03640086314541,9,Rps28|Actb|Pabpn1|Tubb5|Ddx5|Tubb2a|Tuba1a|Dync1i2
REACTOME_METABOLISM_OF_RNA,0.00567474128266789,0.0453979302613432,0.407017918923954,-0.75682719195947,-1.83914124393063,7,Rps28|Las1l|Snrnp70|Pabpn1|Srsf2|Ddx5
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.0266996586702553,0.142398179574695,0.352487857583619,-0.630018136879584,-1.66824979424395,9,Cntn5|Actb|Ddx5|Tubb2a|Tuba1a|Dync1i2
REACTOME_MRNA_SPLICING,0.0830388692579505,0.265724381625442,0.206587922696891,-0.672910681319632,-1.48259708932565,5,Snrnp70|Pabpn1|Srsf2|Ddx5
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,0.0830388692579505,0.265724381625442,0.206587922696891,-0.672910681319632,-1.48259708932565,5,Snrnp70|Pabpn1|Srsf2|Ddx5
REACTOME_INNATE_IMMUNE_SYSTEM,0.114840989399293,0.306242638398115,0.173747838999571,-0.644475022306653,-1.41994594340682,5,Ttr|Actb|Tubb5
REACTOME_DEVELOPMENTAL_BIOLOGY,0.376130198915009,0.752260397830018,0.0891647117820678,-0.437722571458927,-1.10865827626298,8,Rps28|Actb|Tubb2a|Tuba1a
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0.376130198915009,0.752260397830018,0.0891647117820678,-0.437722571458927,-1.10865827626298,8,Rps28|Actb|Tubb2a|Tuba1a
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.797727272727273,0.850909090909091,0.0621124188949471,0.312327592935127,0.729844066937038,5,Rasgrp1|Rnf182
REACTOME_HEMOSTASIS,0.498233215547703,0.850909090909091,0.0728938564822936,-0.43528705071919,-0.959050483716241,5,Actb|Tubb2a|Tuba1a
REACTOME_NEURONAL_SYSTEM,0.697399527186761,0.850909090909091,0.0706196247122591,0.257575757575758,0.806287641760216,11,Homer1|Grik4|Grm1|Kcnc2|Grin2a|Grik2|Nlgn1|Gria2|Ptprs|Tuba1a|Tubb2a
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.758620689655172,0.850909090909091,0.051530912208539,-0.320909176350091,-0.755733965688284,6,Tubb2a|Tuba1a|Gria2|Grik2|Grin2a
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.653395784543326,0.850909090909091,0.0734381410838857,0.333224737248797,0.829507114523991,6,Nr4a3
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,0.650537634408602,0.850909090909091,0.0605092988656667,-0.337164236828869,-0.819331890447687,7,Actb|Tubb2a|Tuba1a|Dync1i2
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.758620689655172,0.850909090909091,0.051530912208539,-0.320909176350091,-0.755733965688284,6,Tubb2a|Tuba1a|Gria2|Grik2|Grin2a
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0.911363636363636,0.911363636363636,0.055826471778749,0.263888888888889,0.616652976690941,5,Homer1|Grm1|Grin2a|Nlgn1
