pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,1.11392306488012e-08,1.11392306488012e-07,0.747739663149885,0.922809378545231,2.53790859572325,10,mt-Co3|mt-Co2|mt-Nd1|mt-Atp6|mt-Co1|mt-Nd2|mt-Cytb|mt-Nd4|Cox6a1
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.11392306488012e-08,1.11392306488012e-07,0.747739663149885,0.922809378545231,2.53790859572325,10,mt-Co3|mt-Co2|mt-Nd1|mt-Atp6|mt-Co1|mt-Nd2|mt-Cytb|mt-Nd4|Cox6a1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,3.5231638373027e-07,2.34877589153513e-06,0.674962860011025,0.906701893738703,2.42376938734844,9,mt-Co3|mt-Co2|mt-Nd1|mt-Co1|mt-Nd2|mt-Cytb|mt-Nd4|Cox6a1
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.000789885976605169,0.00394942988302584,0.477270815362862,0.734855356613447,2.02099780249593,10,mt-Co3|mt-Co2|mt-Co1|Cox6a1|Tubb2a|Tuba1a|Hspa8
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.00358309758591337,0.00895774396478343,0.431707695803346,0.823720763117542,1.84716063094243,5,mt-Co3|mt-Co2|mt-Co1|Cox6a1
REACTOME_CYTOPROTECTION_BY_HMOX1,0.00358309758591337,0.00895774396478343,0.431707695803346,0.823720763117542,1.84716063094243,5,mt-Co3|mt-Co2|mt-Co1|Cox6a1
REACTOME_TP53_REGULATES_METABOLIC_GENES,0.00358309758591337,0.00895774396478343,0.431707695803346,0.823720763117542,1.84716063094243,5,mt-Co3|mt-Co2|mt-Co1|Cox6a1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.00358309758591337,0.00895774396478343,0.431707695803346,0.823720763117542,1.84716063094243,5,mt-Co3|mt-Co2|mt-Co1|Cox6a1
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.0404191616766467,0.0898203592814371,0.276500599254472,0.598429393889651,1.5997042196729,9,mt-Co3|mt-Co2|mt-Co1|Cox6a1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.0455284552845528,0.0910569105691057,0.271288554688953,0.709553607983263,1.59114538432828,5,Tubb2a|Tuba1a|Hspa8|Gria2|Apba1
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,0.064873417721519,0.11795166858458,0.222056046145248,0.629539559310736,1.48757324080004,6,Pcdh7|Tubb2a|Tuba1a|Sptan1
REACTOME_MEMBRANE_TRAFFICKING,0.0991869918699187,0.152595372107567,0.179782316298324,0.639221645070117,1.43342879054184,5,Tubb2a|Tuba1a|Hspa8|Sptan1
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.0991869918699187,0.152595372107567,0.179782316298324,0.639221645070117,1.43342879054184,5,Tubb2a|Tuba1a|Hspa8|Sptan1
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0.128455284552846,0.183507549361208,0.156312403073186,0.613391964618369,1.3755067725758,5,Tubb2a|Tuba1a|Hspa8|Sptan1
REACTOME_NEURONAL_SYSTEM,0.213549337260677,0.284732449680903,0.11101149245045,0.46220052891575,1.27114301453279,10,Tubb2a|Tuba1a|Hspa8|Hcn1|Ptprs|Kcnq5|Gria2|Apba1
REACTOME_DEVELOPMENTAL_BIOLOGY,0.263237518910741,0.329046898638427,0.0995791200495904,0.47949233640098,1.20034408489636,7,Tubb2a|Tuba1a|Hspa8|Sptan1|Pbx1
REACTOME_METABOLISM_OF_RNA,0.50733137829912,0.519203413940256,0.0999276973731092,-0.341805417984077,-0.954320921653185,7,Cwc22|Pabpc1
REACTOME_MRNA_SPLICING,0.489430894308943,0.519203413940256,0.0696133438850965,0.432564716550111,0.970008952696655,5,Hspa8|Ddx5|Srrm2|Snrnp70
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.519203413940256,0.519203413940256,0.0602484086158019,0.316831105139605,0.955162143856304,14,Tubb2a|Tuba1a|Hspa8|Ddx5|Sptan1|Ntm|Cntn4|Negr1
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,0.489430894308943,0.519203413940256,0.0696133438850965,0.432564716550111,0.970008952696655,5,Hspa8|Ddx5|Srrm2|Snrnp70
