pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_SELECTIVE_AUTOPHAGY,2.09646019526464e-07,2.01260178745405e-05,0.690132458796796,-0.914893617021277,-2.28872658257051,8,Ubb|Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Hsp90aa1|Tuba1a
REACTOME_AGGREPHAGY,1.84861544236597e-06,3.89257432350333e-05,0.643551836150722,-0.905263157894737,-2.18614034880004,7,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Hsp90aa1|Tuba1a
REACTOME_CILIUM_ASSEMBLY,2.02738246015798e-06,3.89257432350333e-05,0.627256739718528,-0.884138639207442,-2.21178896495102,8,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
REACTOME_M_PHASE,1.91861803817046e-06,3.89257432350333e-05,0.627256739718528,-0.873822407817236,-2.24363202309232,9,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,1.84861544236597e-06,3.89257432350333e-05,0.643551836150722,-0.905263157894737,-2.18614034880004,7,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
REACTOME_MITOTIC_PROMETAPHASE,1.20593641166342e-05,0.000192949825866146,0.593325476396405,-0.856822623452809,-2.14345436273673,8,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,2.82524374086574e-05,0.000193730999373651,0.575610261071129,-0.895833333333333,-2.05742106058041,6,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tuba1a
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,2.75040395600131e-05,0.000193730999373651,0.575610261071129,-0.895833333333334,-2.05742106058041,6,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Actb|Tuba1a
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,2.75040395600131e-05,0.000193730999373651,0.575610261071129,-0.895833333333334,-2.05742106058041,6,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Actb|Tuba1a
REACTOME_HEDGEHOG_OFF_STATE,2.82524374086574e-05,0.000193730999373651,0.575610261071129,-0.895833333333333,-2.05742106058041,6,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tuba1a
REACTOME_MITOTIC_G2_G2_M_PHASES,2.26600338398398e-05,0.000193730999373651,0.575610261071129,-0.836572822136944,-2.14798974780667,9,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
REACTOME_PROTEIN_FOLDING,2.75040395600131e-05,0.000193730999373651,0.575610261071129,-0.895833333333334,-2.05742106058041,6,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Actb|Tuba1a
REACTOME_SIGNALING_BY_HEDGEHOG,2.82524374086574e-05,0.000193730999373651,0.575610261071129,-0.895833333333333,-2.05742106058041,6,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tuba1a
REACTOME_VESICLE_MEDIATED_TRANSPORT,2.49168485764665e-05,0.000193730999373651,0.575610261071129,-0.773245320409515,-2.12652827166226,12,Ubb|Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Actb|Hsp90aa1|Tuba1a
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,3.64376482055097e-05,0.000233200948515262,0.557332238758646,-0.68964454658167,-2.12004206517905,20,Ubb|Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Actb|Cfl1|Myl6|Hsp90aa1|Tuba1a
REACTOME_AUTOPHAGY,6.08191342533252e-05,0.000276829493177595,0.557332238758646,-0.785152071530829,-2.08198705612901,10,Ubb|Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Hsp90aa1|Tuba1a
REACTOME_CELL_CYCLE,7.20910138483319e-05,0.000276829493177595,0.538434096309916,-0.777747543810913,-2.1012710401531,11,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
REACTOME_CELL_CYCLE_MITOTIC,7.20910138483319e-05,0.000276829493177595,0.538434096309916,-0.777747543810913,-2.1012710401531,11,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Hsp90aa1|Tuba1a
REACTOME_DEVELOPMENTAL_BIOLOGY,6.10135832268956e-05,0.000276829493177595,0.557332238758646,-0.661486338531931,-2.05368559125713,22,Ubb|Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Actb|Cfl1|Myl6|Hsp90aa1|Tuba1a
REACTOME_INFECTIOUS_DISEASE,6.09315954720814e-05,0.000276829493177595,0.557332238758646,-0.697749917584673,-2.08993559494512,16,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tubb5|Actb|Hsp90aa1|Tuba1a|Ppia|Actg1|Hsp90ab1|Slc25a4|Calm1
REACTOME_INNATE_IMMUNE_SYSTEM,6.63864518355307e-05,0.000276829493177595,0.538434096309916,-0.729318312699809,-2.15594732653676,15,Ubb|Tubb4b|Hspa8|Aldoa|Tubb5|Actb|Cfl1|Hsp90aa1|Ppia|Atp6v0c|Actg1|Hsp90ab1|Psap|Calm1
REACTOME_L1CAM_INTERACTIONS,5.65377632670569e-05,0.000276829493177595,0.557332238758646,-0.829787234042553,-2.07582178419185,8,Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Actb|Tuba1a|Actg1
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,6.49358828043166e-05,0.000276829493177595,0.538434096309916,-0.843813113419334,-2.03774325510228,7,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tuba1a
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,6.49358828043166e-05,0.000276829493177595,0.538434096309916,-0.843813113419334,-2.03774325510228,7,Ubb|Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tuba1a
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,5.23296707944775e-05,0.000276829493177595,0.557332238758646,-0.732422880424875,-2.12767232706516,14,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Actb|Cfl1|Myl6|Hsp90aa1|Tuba1a|Ckb|Actg1|Hsp90ab1|Calm1
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,0.000173722861417121,0.000333547893920872,0.518848077743792,-0.88659793814433,-1.91450119620513,5,Tubb2b|Tubb4b|Tuba1b|Tubb2a|Tuba1a
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.000109501159920882,0.000333547893920872,0.538434096309916,-0.683807208386012,-2.05173509967785,17,Ubb|Tubb2b|Tubb4b|Tuba1b|Hspa8|Tubb2a|Hsp90aa1|Tuba1a|Ndufa4|Atp6v0c|mt-Co3|mt-Co1|Hsp90ab1
