pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,4.51296644267193e-05,0.00410679946283146,0.557332238758646,-0.895705521472393,-2.17021749915542,5,Rpl9|Fau|Rps10|Rpl13a|Ubb
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,0.000217661813613403,0.00990361251940984,0.518848077743792,-0.852760736196319,-2.06616597522331,5,Rpl9|Fau|Rps10|Rpl13a|Ppp2r1a
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,0.000620399372084719,0.0112912685719419,0.477270815362862,-0.822155567686247,-1.99201228221495,5,Rpl9|Fau|Rps10|Rpl13a
REACTOME_INFECTIOUS_DISEASE,0.000386747365759087,0.0112912685719419,0.49849310876659,-0.59757593963344,-2.24294196032768,16,Rpl9|Fau|Rps10|Tubb2b|Rpl13a|Xpo1|Ubb|Actg1|Tubb5|Tuba1a|Ppia|Hsp90aa1|Tubb3
REACTOME_TRANSLATION,0.000620399372084719,0.0112912685719419,0.477270815362862,-0.822155567686247,-1.99201228221495,5,Rpl9|Fau|Rps10|Rpl13a
REACTOME_INFLUENZA_INFECTION,0.000956909591306815,0.0145131288014867,0.477270815362862,-0.741842583926691,-2.05240834322496,7,Rpl9|Fau|Rps10|Rpl13a|Xpo1
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.00219992271128687,0.0285989952467292,0.431707695803346,-0.536649047449599,-2.01425891951562,16,Rpl9|Fau|Rps10|Tubb2b|Rpl13a|Xpo1|Ubb|H3f3b|Tuba1a|Atp6v0c|Hsp90aa1|Tubb3|Hspa8
REACTOME_RRNA_PROCESSING,0.00254222630029282,0.0289178241658308,0.431707695803346,-0.776175315108605,-1.88060608188747,5,Rpl9|Fau|Rps10|Rpl13a
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,0.00358698803944422,0.0362684346210471,0.431707695803346,-0.6739663612644,-1.97406659242833,8,Rpl9|Fau|Rps10|Rpl13a|Ubb
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,0.00647391523309957,0.0455356527214049,0.407017918923954,-0.718658532321607,-1.88823948419288,6,Rpl9|Fau|Rps10|Rpl13a
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.0051820351735755,0.0455356527214049,0.407017918923954,-0.592631131748263,-1.92719027327085,11,Cfl1|Ndn|Ubb|Ppp2r1a|Ppia|Peli1|Hsp90aa1|Hspa8|Eif4a2|Ywhaz
REACTOME_DEVELOPMENTAL_BIOLOGY,0.00701756581637866,0.0455356527214049,0.407017918923954,-0.42328947113269,-1.85550089755526,27,Rpl9|Fau|Rps10|Cfl1|Scn9a|Tubb2b|Rpl13a|Ubb|Actg1|Myl6|H3f3b|Tuba1a|Hsp90aa1|Tubb3|Hspa8
REACTOME_HEMOSTASIS,0.00771327229771303,0.0455356527214049,0.407017918923954,-0.51365038484291,-1.88693486886083,15,Cfl1|Tubb2b|Sdc3|Ppp2r1a|Tmsb4x|H3f3b|Tuba1a|Ppia|Cxadr|Tubb3|Pde1a|Ywhaz|Tubb2a
REACTOME_INNATE_IMMUNE_SYSTEM,0.00719092142166524,0.0455356527214049,0.407017918923954,-0.515990822968568,-1.89553265139547,15,Cfl1|Ubb|Ppp2r1a|Actg1|Tubb5|Pgrmc1|Ppia|Peli1|Cst3|Atp6v0c|Hsp90aa1|Hspa8
REACTOME_METABOLISM_OF_RNA,0.00744481123875882,0.0455356527214049,0.407017918923954,-0.49355331727755,-1.88128926470124,17,Cwc22|Rpl9|Fau|Rps10|Rpl13a|Xpo1|Ubb|Ppp2r1a
REACTOME_SIGNALING_BY_INTERLEUKINS,0.0080062686103569,0.0455356527214049,0.380730400722792,-0.628930817610063,-1.92039218756967,9,Cfl1|Ndn|Ubb|Ppp2r1a|Ppia|Peli1|Hsp90aa1|Hspa8|Ywhaz
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.00912211355609865,0.048830137270881,0.380730400722792,-0.551936885051151,-1.94526713900001,13,Tubb2b|Ubb|Ppp2r1a|Fbxl7|Tuba1a|Ppia|Cxadr|Tubb3|Pja2|Ywhaz|Tubb2a|Pak3
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0.0156942387060738,0.0751671432764586,0.352487857583619,-0.432211918139405,-1.84891916290743,24,Rpl9|Fau|Rps10|Cfl1|Scn9a|Tubb2b|Rpl13a|Ubb|Actg1|Myl6|Tuba1a|Hsp90aa1|Tubb3|Hspa8
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.0154008970709369,0.0751671432764586,0.380730400722792,-0.528329424783333,-1.86206411717266,13,Tubb2b|Ubb|Actg1|Tuba1a|Cog5|Hsp90aa1|Tubb3|Hspa8|Reps2|Ywhaz|Tubb2a
REACTOME_MEMBRANE_TRAFFICKING,0.0220182646323558,0.0801464832617751,0.352487857583619,-0.518545628661231,-1.76605777086582,12,Tubb2b|Ubb|Actg1|Tuba1a|Cog5|Tubb3|Hspa8|Reps2|Ywhaz|Tubb2a
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,0.0191843197889025,0.0801464832617751,0.352487857583619,-0.608859135093349,-1.68449155628118,7,Tubb2b|Xpo1|Ubb|Ppp2r1a|Tuba1a|Tubb3
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,0.0203740219135742,0.0801464832617751,0.352487857583619,-0.606398978463004,-1.67768519856708,7,Tubb2b|Xpo1|Ppp2r1a|Actg1|Tuba1a|Tubb3
REACTOME_RHO_GTPASE_EFFECTORS,0.0195076918692665,0.0801464832617751,0.352487857583619,-0.517870423912475,-1.82520202070493,13,Cfl1|Tubb2b|Xpo1|Ppp2r1a|Actg1|Myl6|H3f3b|Tuba1a|Tubb3|Ywhaz|Tubb2a|Pak3
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,0.0191843197889025,0.0801464832617751,0.352487857583619,-0.608859135093349,-1.68449155628118,7,Tubb2b|Xpo1|Ubb|Ppp2r1a|Tuba1a|Tubb3
