pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.000822217263407083,0.00904438989747791,0.477270815362862,-0.838445624269546,-1.86790583468438,5,Hsp90ab1|mt-Co1|mt-Co3|Tuba1a
REACTOME_DEVELOPMENTAL_BIOLOGY,0.674324324324324,0.873015873015873,0.04577044581081,-0.26695518304885,-0.84609058868637,15,Hsp90ab1|Nrp1|Tuba1a
REACTOME_INFECTIOUS_DISEASE,0.297872340425532,0.873015873015873,0.0925528864684773,-0.453132582763871,-1.13699994525931,7,Hsp90ab1|Atp1b1|Tuba1a
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0.604081632653061,0.873015873015873,0.0511147954416412,-0.284879374256916,-0.888970170199465,14,Hsp90ab1|Nrp1|Tuba1a
REACTOME_NEURONAL_SYSTEM,0.689795918367347,0.873015873015873,0.0450442767152795,-0.27111856854592,-0.828224269524332,13,Tuba1a|Cacnb2|Rtn3|Kcnn2|Hcn1|Ptprs|Gabra2|Cacna1b|Grin2b|Kcnh7
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.714285714285714,0.873015873015873,0.048505983646947,-0.326040659214878,-0.81810098364258,7,Tuba1a|St6galnac5|Apc
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0.628342245989305,0.873015873015873,0.0824344091527096,0.350649350649351,0.87439854794856,5,Syt1|Grin2a|Grin2b|Ptprs|Rtn3
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.605029585798817,0.873015873015873,0.0549073703290958,-0.341261182960577,-0.898199810433041,8,mt-Co1|mt-Co3|Nedd4l|Hdac9
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,0.253968253968254,0.873015873015873,0.104732821580651,-0.536038815872677,-1.19419793341779,5,Atp1b1|Slc24a2|Nedd4l
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.971428571428571,0.971428571428571,0.0363783055518278,-0.241210815369002,-0.537374251084276,5,Tuba1a
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.958579881656805,0.971428571428571,0.0336769978828608,-0.216216216216216,-0.569081319865172,8,Tuba1a|Cacnb2|Gabra2|Cacna1b|Grin2b|Gabrg3|Grin2a|Syt1
