"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
2.3512553422922e-19,-1.31298602072173,0.28,0.548,3.89304400789346e-14,"chr2-77945820-77946697","Astrocytes","PTZvsSAL_24hr","Cwc22",0,"Down"
7.51335921025173e-07,0.940426389121358,0.374,0.207,0.124400942451901,"chr17-39845560-39846509","Astrocytes","PTZvsSAL_24hr","Gm26917",0,"Up"
2.77534740976102e-06,-1.15368485170228,0.114,0.227,0.459522596676362,"chr3-103808988-103809927","Astrocytes","PTZvsSAL_24hr","Ap4b1",0,"Down"
1.0653972601284e-05,-1.48622403949793,0.053,0.155,1,"chr10-108133193-108134163","Astrocytes","PTZvsSAL_24hr","Ppp1r12a",28029,"Down"
1.39395145929963e-05,-0.767600583591489,0.197,0.323,1,"chr2-172345070-172345964","Astrocytes","PTZvsSAL_24hr","Fam210b",0,"Down"
1.62433488847272e-05,1.80515014018955,0.086,0.031,1,"chr15-76294301-76295263","Astrocytes","PTZvsSAL_24hr","Smpd5",0,"Up"
3.76829323939961e-05,-1.16359542535122,0.08,0.17,1,"chr2-33966616-33967551","Astrocytes","PTZvsSAL_24hr","Gm13404",10694,"Down"
6.18425286589472e-05,2.32829536067823,0.061,0.014,1,"chr1-75494933-75495851","Astrocytes","PTZvsSAL_24hr","Obsl1",0,"Up"
6.83181134139206e-05,-1.05053878363834,0.089,0.178,1,"chr4-111596966-111597913","Astrocytes","PTZvsSAL_24hr","Agbl4",0,"Down"
7.59126685143972e-05,-0.641554903876837,0.263,0.387,1,"chr16-56717009-56717927","Astrocytes","PTZvsSAL_24hr","Tfg",0,"Down"
7.648766732865e-05,-1.90980813010478,0.025,0.086,1,"chr10-8059442-8060382","Astrocytes","PTZvsSAL_24hr","Gm48614",38149,"Down"
9.31007408211959e-05,-1.87979790271402,0.025,0.082,1,"chr13-85768208-85769167","Astrocytes","PTZvsSAL_24hr","Cox7c",275648,"Down"
9.55903601190174e-05,-1.40330323713781,0.047,0.119,1,"chr6-10969486-10970342","Astrocytes","PTZvsSAL_24hr","Gm35822",0,"Down"
