"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"chr2-77897231-77898068",2.36933239541095e-33,0.561221131952369,0.416,0.337,3.92411200660358e-28,"0","chr2-77897231-77898068"
"chr2-78003922-78004922",1.07430829227597e-18,0.519001440592359,0.292,0.234,1.77928013675038e-13,"0","chr2-78003922-78004922"
"chr5-8622566-8623394",4.61010536491489e-09,0.335304286963668,0.338,0.312,0.000763530260642568,"0","chr5-8622566-8623394"
"chr7-38200572-38201429",4.0480641754884e-08,0.321052040307781,0.353,0.336,0.00670444436808564,"0","chr7-38200572-38201429"
"chr18-22343518-22344407",5.653078430077e-06,0.341322469238356,0.254,0.234,0.936268502667783,"0","chr18-22343518-22344407"
"chr7-19749216-19750115",4.06342268578509e-05,0.307178081941462,0.271,0.255,1,"0","chr7-19749216-19750115"
"chr13-65240590-65241554",5.9222586974152e-05,0.274963645746003,0.312,0.302,1,"0","chr13-65240590-65241554"
"chr7-82865747-82866636",0.00010493545463302,0.250298108357713,0.336,0.33,1,"0","chr7-82865747-82866636"
"chr17-42876132-42877029",0.000227391694180741,0.263865115535439,0.272,0.259,1,"0","chr17-42876132-42877029"
"chr7-52005625-52006564",0.000230940064193576,0.25267237012065,0.331,0.325,1,"0","chr7-52005625-52006564"
"chr2-77881108-77882033",5.54944795094564e-271,1.52709851846967,0.431,0.167,9.19105119083568e-266,"1","chr2-77881108-77882033"
"chr2-77933432-77934324",4.9579747429534e-149,0.97630825680003,0.482,0.255,8.21144734902685e-144,"1","chr2-77933432-77934324"
"chr2-78003922-780049221",3.88911099607786e-117,0.925056376870883,0.415,0.217,6.44118452281411e-112,"1","chr2-78003922-78004922"
"chr2-77917741-77918635",3.84208166454757e-106,1.07279224001727,0.324,0.161,6.36329407364034e-101,"1","chr2-77917741-77918635"
"chr2-77941335-77942214",1.14728594287694e-82,0.951165989150958,0.301,0.157,1.90014645145221e-77,"1","chr2-77941335-77942214"
"chr2-77897231-778980681",1.08786421201159e-78,0.624775613983924,0.506,0.324,1.80173158657571e-73,"1","chr2-77897231-77898068"
"chr2-78021505-78022372",6.14889070130155e-75,0.695531654771388,0.453,0.287,1.01838542684026e-69,"1","chr2-78021505-78022372"
"chr4-124657005-124657930",2.84538409407687e-60,0.702518636029451,0.339,0.201,4.71255359045106e-55,"1","chr4-124657005-124657930"
"chr2-77913469-77914332",3.49657993426759e-46,0.706434448013076,0.283,0.172,5.79107065293332e-41,"1","chr2-77913469-77914332"
"chr2-98666640-98667361",2.79224206704434e-42,0.3129159139611,0.751,0.594,4.62453923385951e-37,"1","chr2-98666640-98667361"
"chr13-23412083-23413093",1.26989290819062e-35,0.627497877948975,0.282,0.185,2.10320933347439e-30,"1","chr13-23412083-23413093"
"chr2-146221608-146222498",2.28474717140877e-35,0.58403822796671,0.268,0.168,3.78402111275891e-30,"1","chr2-146221608-146222498"
"chr18-38349824-38350714",2.37738383899509e-27,0.538506303293917,0.25,0.165,3.93744688798207e-22,"1","chr18-38349824-38350714"
"chr13-9011377-9012251",2.44371455740342e-26,0.326732058521676,0.513,0.397,4.04730448711712e-21,"1","chr13-9011377-9012251"
"chr9-35304951-35305862",1.26206466822634e-25,0.358811366459525,0.436,0.328,2.09024412416315e-20,"1","chr9-35304951-35305862"
"chr10-77902597-77903385",6.90934398902671e-17,0.403504959779604,0.253,0.185,1.14433246080659e-11,"1","chr10-77902597-77903385"
"chr1-42695206-42696069",2.19296061132106e-16,0.333769492451116,0.276,0.2,3.63200329407604e-11,"1","chr1-42695206-42696069"
"chr9-7763628-7764536",6.62771345034418e-16,0.343877281439762,0.266,0.195,1.09768852935945e-10,"1","chr9-7763628-7764536"
"chr3-68493522-68494463",4.3900427656747e-13,0.335980635428024,0.251,0.189,7.2708327289381e-08,"1","chr3-68493522-68494463"
"chr1-195241229-195242143",5.21504493299351e-12,0.264284340882031,0.34,0.271,8.63720956847319e-07,"1","chr1-195241229-195242143"
"chr15-66239008-66240001",9.97654405870874e-12,0.311632278845302,0.259,0.2,1.6523252035474e-06,"1","chr15-66239008-66240001"
"chr8-92355643-92356584",1.49267424163868e-11,0.269449748557953,0.273,0.21,2.4721820057444e-06,"1","chr8-92355643-92356584"
"chr9-50727634-50728547",9.03591022305114e-10,0.268709257931484,0.26,0.205,0.000149653648705195,"1","chr9-50727634-50728547"
"chr1-178275907-178276835",1.29228784624463e-08,0.251179372377577,0.255,0.203,0.00214030005382882,"1","chr1-178275907-178276835"
"chr19-10397786-10398789",1.16046674916344e-85,1.76607645192761,0.278,0.09,1.92197663463198e-80,"10","chr19-10397786-10398789"
"chr2-32342458-32343399",3.10309500217183e-60,1.54763093493801,0.255,0.095,5.13937697354701e-55,"10","chr2-32342458-32343399"
"chr18-74145840-74146773",4.76858506022887e-58,1.50164393940246,0.258,0.098,7.89777826260166e-53,"10","chr18-74145840-74146773"
"chr17-39848011-39848946",5.84234531178223e-50,0.608550719654454,0.795,0.637,9.67615072882684e-45,"10","chr17-39848011-39848946"
"chr17-39845560-39846509",6.60486515184779e-42,0.506274382797275,0.841,0.715,1.09390437131418e-36,"10","chr17-39845560-39846509"
"chr17-39842868-39843778",8.0687135534941e-38,0.515063857444363,0.788,0.659,1.33634840744325e-32,"10","chr17-39842868-39843778"
"chr11-109011397-109012320",4.89100340240827e-37,0.707718384195072,0.566,0.392,8.10052874510259e-32,"10","chr11-109011397-109012320"
"chr14-69994531-69995469",4.8304400875045e-32,1.12540359289926,0.253,0.127,8.00022317732582e-27,"10","chr14-69994531-69995469"
"chr3-5860221-5861122",5.00475955586836e-32,0.764980828710697,0.454,0.292,8.28893282402473e-27,"10","chr3-5860221-5861122"
"chr1-195241229-1952421431",5.93667571037097e-29,0.731578883825221,0.429,0.273,9.8323816782735e-24,"10","chr1-195241229-195242143"
"chr16-11143650-11144549",6.77864606704437e-22,0.819049539087267,0.288,0.17,1.12268614026996e-16,"10","chr16-11143650-11144549"
"chr16-57391112-57392022",4.43303620373822e-21,0.712818590667342,0.353,0.227,7.34203889099328e-16,"10","chr16-57391112-57392022"
"chr19-61266374-61267259",5.24559258285729e-19,0.620071757655069,0.408,0.289,8.68780289165408e-14,"10","chr19-61266374-61267259"
"chr17-30575816-30576746",9.93671353956619e-19,0.581070531911098,0.424,0.302,1.64572843313649e-13,"10","chr17-30575816-30576746"
"chr9-121642279-121643221",3.39162523538444e-18,0.742066489826174,0.289,0.182,5.61724363109606e-13,"10","chr9-121642279-121643221"
