"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
3.17893093954078e-56,-0.941649878511862,0.494,0.806,5.26345132452586e-51,"chr2-77945820-77946697","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
8.25038870401492e-39,-1.03839647673118,0.317,0.624,1.36604160888986e-33,"chr2-77933432-77934324","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
4.61001027931715e-35,-0.991244237586362,0.313,0.6,7.63293231977378e-30,"chr2-78021505-78022372","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","4930440I19Rik",28804,"Down"
3.2777296125465e-33,-1.0450855225251,0.27,0.538,5.42703525138162e-28,"chr2-77881108-77882033","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
9.39719594307891e-29,-1.02886296799188,0.257,0.513,1.5559219238834e-23,"chr2-78003922-78004922","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","4930440I19Rik",46254,"Down"
7.17526516856147e-26,-0.832764974679735,0.342,0.605,1.18803017975423e-20,"chr2-77897231-77898068","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
7.99047960535495e-21,-0.979531591959724,0.21,0.416,1.32300767969744e-15,"chr2-77917741-77918635","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
8.48136630048583e-21,-0.945927364070897,0.214,0.429,1.40428526247034e-15,"chr2-77941335-77942214","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
4.68306969946585e-20,-1.05854615825016,0.173,0.366,7.75389899349659e-15,"chr2-77913469-77914332","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
2.2070657572576e-15,-1.08732066780958,0.13,0.286,3.65430498626412e-10,"chr2-77885405-77886229","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
4.64118148668745e-15,-0.912504307614741,0.173,0.345,7.68454342295302e-10,"chr2-77927952-77928844","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
7.60476548894514e-15,-1.36962941872216,0.076,0.198,1.25914383630111e-09,"chr2-77951125-77951993","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",4749,"Down"
3.77903542935883e-14,-1.1992752811946,0.096,0.233,6.2570623314523e-09,"chr2-78010459-78011213","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","4930440I19Rik",39963,"Down"
6.60483608923331e-14,-0.875035236688245,0.176,0.349,1.09358252580263e-08,"chr2-77889368-77890235","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
3.61202631727145e-13,-1.01936182985162,0.13,0.275,5.98054033429585e-08,"chr2-77975363-77976288","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",28987,"Down"
7.03597651446426e-13,-1.03467997107883,0.119,0.256,1.16496773942939e-07,"chr2-78009583-78010377","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","4930440I19Rik",40799,"Down"
2.97403224120099e-11,-0.980391391526984,0.12,0.252,4.92419440272371e-06,"chr2-77919682-77920650","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
3.19665526664034e-11,-1.13799466030829,0.09,0.193,5.29279802463441e-06,"chr2-77996768-77997711","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",50392,"Down"
1.48420983713975e-10,-1.10979964634517,0.083,0.188,2.45745075364739e-05,"chr2-77980362-77981176","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",33986,"Down"
5.42393524524951e-09,-1.00004851912973,0.089,0.186,0.000898057230361697,"chr2-77991040-77991759","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",44664,"Down"
6.84912272101692e-09,-1.233424515685,0.055,0.131,0.00113402979628693,"chr2-78011776-78012610","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","4930440I19Rik",38566,"Down"
2.6176276509078e-08,-0.434981856676651,0.402,0.555,0.00433408463043757,"chr4-55349433-55350337","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Rad23b",0,"Down"
4.66700319634179e-08,-0.902843605850739,0.097,0.189,0.00772729720227899,"chr2-77994723-77995696","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",48347,"Down"
6.33859077659519e-08,-1.05956298159165,0.068,0.148,0.010494994906532,"chr2-77870879-77871821","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Gm13727",7931,"Down"
9.65422084456667e-08,-0.534645702391592,0.273,0.4,0.0159847830789744,"chr17-10319188-10320289","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Qk",0,"Down"
1.42223484224273e-07,-1.01068325208242,0.073,0.156,0.0235483689534656,"chr13-77396650-77397559","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","2210408I21Rik",0,"Down"
1.74939265254879e-07,-0.776061567213519,0.127,0.24,0.0289652189660461,"chr2-77912145-77913036","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Cwc22",0,"Down"
2.51194265232321e-07,-1.41851820167967,0.033,0.087,0.0415909880773111,"chr4-142577219-142578236","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","6330411D24Rik",20204,"Down"
2.51455337710467e-07,-0.780274412219742,0.113,0.207,0.0416342146307351,"chr1-25698471-25699426","ExcitatoryNeuronsCA1","PTZvsSAL_24hr","Adgrb3",0,"Down"
