"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
3.26196981480295e-22,-0.914389715486398,0.343,0.598,5.40094128146369e-17,"chr2-77897231-77898068","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
2.51890314215912e-20,-0.780130729312425,0.432,0.676,4.17062349956711e-15,"chr2-77945820-77946697","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
9.98992002044589e-11,-1.31302657273881,0.089,0.241,1.65406102754529e-05,"chr2-78021505-78022372","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","4930440I19Rik",28804,"Down"
1.24945141168909e-07,-0.91532785454154,0.133,0.263,0.0206875418587598,"chr2-77933432-77934324","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
7.46978584901815e-07,-1.00962621837633,0.096,0.198,0.123679485237948,"chr16-28752884-28753776","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Fgf12",0,"Down"
8.36783298115955e-07,-0.87849411825447,0.135,0.263,0.138548721018953,"chr2-78003922-78004922","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","4930440I19Rik",46254,"Down"
1.60311147767754e-06,-0.694801737684131,0.185,0.314,0.265431976693504,"chr13-119487905-119488913","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Tmem267",0,"Down"
3.60536267792174e-06,-1.80330785210714,0.026,0.084,0.596950714671536,"chr2-77941335-77942214","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
6.83335554863107e-06,-1.22585031934502,0.054,0.132,1,"chr5-66619995-66620877","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Apbb2",1210,"Down"
8.69727745889769e-06,-1.74711593217571,0.026,0.081,1,"chr14-122885626-122886557","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Ggact",0,"Down"
1.26358607576963e-05,-0.688101145218667,0.173,0.281,1,"chr17-56461862-56462823","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Ptprs",0,"Down"
1.64568503215986e-05,-1.18069451086525,0.054,0.124,1,"chr2-143217663-143218567","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Otor",135949,"Down"
1.98855766635173e-05,-0.789123998267424,0.114,0.207,1,"chr10-121475928-121476842","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Rassf3",0,"Down"
2.00399007194981e-05,-1.40062604759201,0.035,0.104,1,"chr2-78009583-78010377","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","4930440I19Rik",40799,"Down"
2.12525022032316e-05,-1.8471976354601,0.017,0.06,1,"chr19-57123500-57124439","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Ablim1",0,"Down"
2.19964323055432e-05,-0.511291993994396,0.282,0.422,1,"chr18-31634563-31635288","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Sap130",0,"Down"
2.22240227868106e-05,-2.00866183309699,0.015,0.053,1,"chr2-129686686-129687600","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Pdyn",0,"Down"
2.33236289935279e-05,-0.730545827556938,0.148,0.251,1,"chr1-39576923-39577737","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Rnf149",0,"Down"
2.6808631033937e-05,-0.505054447672813,0.277,0.396,1,"chr13-119689848-119690734","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Hmgcs1",0,"Down"
3.07634913980092e-05,-0.663798832024089,0.168,0.267,1,"chr15-78173813-78174746","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Gm49694",0,"Down"
3.1834063055502e-05,-1.34543777545874,0.037,0.096,1,"chr2-78010459-78011213","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","4930440I19Rik",39963,"Down"
3.49024652805446e-05,-1.01647756505815,0.07,0.143,1,"chr7-4124086-4124904","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Ttyh1",0,"Down"
3.51501427837266e-05,-0.569812803142056,0.236,0.363,1,"chr15-39112293-39113198","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Dcaf13",0,"Down"
4.77318855988827e-05,-1.34557254583593,0.037,0.093,1,"chr8-125080364-125081117","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Disc1",0,"Down"
5.11726992617643e-05,-0.65436887937956,0.159,0.255,1,"chr6-94699801-94700639","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Lrig1",0,"Down"
5.15913938187482e-05,-0.580017170297313,0.192,0.296,1,"chr18-12235967-12236900","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Npc1",0,"Down"
5.35186776275573e-05,-1.69974711364125,0.02,0.067,1,"chr17-86897424-86898398","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Tmem247",18949,"Down"
5.67997406405598e-05,-1.07704858530066,0.065,0.133,1,"chr3-105585609-105586540","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Kcnd3",0,"Down"
5.74062424261392e-05,-0.772809573427779,0.125,0.227,1,"chr10-67979132-67980060","ExcitatoryNeuronsImmatureDG","PTZvsSAL_24hr","Rtkn2",0,"Down"
