"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"chr2-77881108-77882033",3.8378613360654e-289,1.56922513396753,0.446,0.167,6.35630432340488e-284,"0","chr2-77881108-77882033"
"chr2-77933432-77934324",1.04700115885897e-149,0.974532154719131,0.49,0.255,1.73405378931382e-144,"0","chr2-77933432-77934324"
"chr2-78003922-78004922",7.39664291952896e-126,0.952119004855961,0.427,0.217,1.22503939697531e-120,"0","chr2-78003922-78004922"
"chr2-77917741-77918635",2.81344922920837e-117,1.12043502797328,0.336,0.161,4.65966274790719e-112,"0","chr2-77917741-77918635"
"chr2-77897231-77898068",8.55089406200629e-90,0.668329808606795,0.522,0.323,1.41620762544354e-84,"0","chr2-77897231-77898068"
"chr2-77941335-77942214",2.09545817933948e-89,0.983729880900781,0.31,0.156,3.47051879120384e-84,"0","chr2-77941335-77942214"
"chr2-78021505-78022372",6.30809895299418e-81,0.719331865393936,0.465,0.287,1.04475365669385e-75,"0","chr2-78021505-78022372"
"chr4-124657005-124657930",9.09152547551831e-69,0.750769614952879,0.351,0.2,1.50574754078082e-63,"0","chr4-124657005-124657930"
"chr2-77913469-77914332",6.07387084098023e-52,0.742529265710906,0.292,0.172,1.00596056255399e-46,"0","chr2-77913469-77914332"
"chr2-98666640-98667361",2.26994514884605e-45,0.326932853090808,0.765,0.593,3.75950585497032e-40,"0","chr2-98666640-98667361"
"chr2-146221608-146222498",4.20973898798784e-40,0.619919138325719,0.277,0.167,6.97221180929534e-35,"0","chr2-146221608-146222498"
"chr13-23412083-23413093",6.73888744874213e-40,0.664786962264713,0.29,0.184,1.11610127814812e-34,"0","chr13-23412083-23413093"
"chr18-38349824-38350714",2.63322407737834e-31,0.57635776934377,0.258,0.164,4.36117204919479e-26,"0","chr18-38349824-38350714"
"chr13-9011377-9012251",6.26374826515899e-31,0.355181827600922,0.526,0.396,1.0374082514239e-25,"0","chr13-9011377-9012251"
"chr9-35304951-35305862",1.32067563239759e-28,0.37639737037066,0.446,0.327,2.18731618913322e-23,"0","chr9-35304951-35305862"
"chr15-55089868-55090752",3.14048949224801e-23,0.481873976164882,0.252,0.171,5.20131010195607e-18,"0","chr15-55089868-55090752"
"chr10-77902597-77903385",6.88170018857517e-21,0.448043122228299,0.263,0.184,1.13975406693201e-15,"0","chr10-77902597-77903385"
"chr1-42695206-42696069",1.18283748057304e-20,0.383390140250815,0.286,0.199,1.95902726369988e-15,"0","chr1-42695206-42696069"
"chr9-7763628-7764536",4.20297720031132e-18,0.364476957950749,0.272,0.194,6.9610128689276e-13,"0","chr9-7763628-7764536"
"chr2-57114413-57115279",4.65812634684438e-18,0.413621630961505,0.25,0.176,7.71483543690713e-13,"0","chr2-57114413-57115279"
