"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
2.79924286624481e-09,2.08898569137091,0.216,0.05,0.000463479039092753,"chr14-20019050-20020007","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Gng2",41422,"Up"
1.67703701390877e-08,3.3385978728762,0.108,0.01,0.00277672049503916,"chr2-83442358-83443251","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Zc3h15",201183,"Up"
1.80720974441987e-08,2.94366291741879,0.129,0.016,0.0029922513901283,"chr16-46092593-46093448","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Cd96",0,"Up"
5.09405992646319e-08,1.85034948565352,0.216,0.061,0.0084343878420429,"chr13-23298481-23299473","L23ExcitatoryNeurons","24hrvs1hr_PTZ","4930557F10Rik",0,"Up"
5.27750585900692e-08,3.31433851682641,0.101,0.011,0.00873812477593353,"chr13-90722463-90723368","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Atp6ap1l",160064,"Up"
1.49393986135892e-07,2.11106031294471,0.173,0.039,0.024735610466478,"chr1-194851303-194852274","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Plxna2",34433,"Up"
1.65317718589117e-07,2.25885371022613,0.151,0.033,0.0273721506199559,"chr13-20269868-20270764","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Elmo1",0,"Up"
1.65334015365128e-07,2.74257158782712,0.115,0.018,0.0273748489260504,"chr13-9355003-9355958","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Dip2c",0,"Up"
2.00335302832187e-07,-11.838311266139,0,0.099,0.0331701170958337,"chr13-81861767-81862707","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Cetn3",64611,"Down"
2.0070145532131e-07,2.66406209954284,0.122,0.019,0.0332307420619152,"chr6-98046415-98047313","L23ExcitatoryNeurons","24hrvs1hr_PTZ","Mitf",25065,"Up"
