"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
2.8063995016045e-06,0.550304054710717,0.681,0.583,0.464663984679162,"chr2-77945820-77946697","OPCs","PTZvsSAL_1hr","Cwc22",0,"Up"
4.33880368373265e-06,-4.3864438691478,0.005,0.062,0.718388742326667,"chr1-26687149-26687714","OPCs","PTZvsSAL_1hr","4931408C20Rik",0,"Down"
2.05409943380482e-05,-4.69739229209273,0.002,0.052,1,"chr18-74990829-74991837","OPCs","PTZvsSAL_1hr","Rpl17",6720,"Down"
2.30177618836445e-05,-4.41893564997736,0.002,0.052,1,"chr7-6934498-6935414","OPCs","PTZvsSAL_1hr","Usp29",0,"Down"
2.36595875015816e-05,-3.81460760034023,0.005,0.062,1,"chr11-116211630-116212266","OPCs","PTZvsSAL_1hr","Ten1",0,"Down"
4.90657295719056e-05,-3.59049653726438,0.005,0.062,1,"chr13-111776979-111778011","OPCs","PTZvsSAL_1hr","Map3k1",0,"Down"
6.53857870789647e-05,1.11150520330971,0.277,0.146,1,"chr1-182408603-182409541","OPCs","PTZvsSAL_1hr","Trp53bp2",0,"Up"
6.81282594291136e-05,-2.55807307580375,0.015,0.083,1,"chr16-38651591-38652375","OPCs","PTZvsSAL_1hr","Arhgap31",0,"Down"
6.86140016997187e-05,-3.44882912660678,0.005,0.057,1,"chr7-78221282-78222189","OPCs","PTZvsSAL_1hr","Ntrk3",0,"Down"
7.87162450723595e-05,-1.07328040454673,0.129,0.26,1,"chr8-123212360-123213285","OPCs","PTZvsSAL_1hr","Spata33",0,"Down"
9.51046182950222e-05,1.34567075404705,0.202,0.089,1,"chr16-32078822-32079706","OPCs","PTZvsSAL_1hr","Pak2",0,"Up"
0.000117411311900532,-3.26048268690301,0.007,0.057,1,"chr10-81481205-81482088","OPCs","PTZvsSAL_1hr","Celf5",0,"Down"
0.000118908757206334,1.17315501034123,0.226,0.104,1,"chr5-105518901-105519805","OPCs","PTZvsSAL_1hr","Lrrc8c",0,"Up"
0.000122960537216369,-3.05844306406723,0.007,0.062,1,"chr15-94263812-94264808","OPCs","PTZvsSAL_1hr","Adamts20",5354,"Down"
0.000129157131882703,-3.49739700329275,0.005,0.052,1,"chr13-8893450-8894334","OPCs","PTZvsSAL_1hr","Idi1",998,"Down"
0.00013303723682357,-3.62039771583468,0.005,0.052,1,"chr12-40133398-40134310","OPCs","PTZvsSAL_1hr","Scin",0,"Down"
0.000140973880289827,-3.46379360795389,0.005,0.052,1,"chr3-89336460-89337278","OPCs","PTZvsSAL_1hr","Efna4",0,"Down"
0.000187599535684733,-3.00119111992865,0.007,0.062,1,"chr12-110277967-110278978","OPCs","PTZvsSAL_1hr","Dio3os",0,"Down"
0.000195706498181212,-1.70581035022299,0.036,0.125,1,"chr4-43208809-43209711","OPCs","PTZvsSAL_1hr","Unc13b",0,"Down"
0.000233712109088504,-2.08661102071982,0.022,0.099,1,"chr11-105943717-105944630","OPCs","PTZvsSAL_1hr","Cyb561",0,"Down"
0.000271458504725415,-1.43820835566587,0.056,0.156,1,"chr10-84755628-84756292","OPCs","PTZvsSAL_1hr","Rfx4",0,"Down"
0.000275364706150662,-2.9486360595943,0.007,0.057,1,"chr17-87248874-87249818","OPCs","PTZvsSAL_1hr","Mcfd2",4624,"Down"
0.000283571436336237,-2.43447487451342,0.012,0.068,1,"chr6-52918771-52919653","OPCs","PTZvsSAL_1hr","Jazf1",0,"Down"
0.000285624701714836,-1.9616762053358,0.022,0.089,1,"chr11-22004225-22005087","OPCs","PTZvsSAL_1hr","Ehbp1",740,"Down"
0.000320890308232518,-1.99539003453028,0.022,0.099,1,"chr8-125897752-125898624","OPCs","PTZvsSAL_1hr","A730098A19Rik",0,"Down"
0.000326743507638877,3.41466455170932,0.063,0.005,1,"chr4-150898481-150899435","OPCs","PTZvsSAL_1hr","Park7",0,"Up"
0.000391825134435744,-1.29275932329862,0.068,0.167,1,"chr17-21449749-21450773","OPCs","PTZvsSAL_1hr","Zfp51",0,"Down"
0.000395739648865476,-1.67155024025501,0.036,0.115,1,"chr18-82953712-82954698","OPCs","PTZvsSAL_1hr","Zfp516",0,"Down"
0.000413817157289327,-1.80322595303577,0.027,0.099,1,"chr17-29062134-29063100","OPCs","PTZvsSAL_1hr","Trp53cor1",0,"Down"
0.000424083036207572,-2.47616840975961,0.012,0.073,1,"chr18-5124593-5125647","OPCs","PTZvsSAL_1hr","Svil",5293,"Down"
0.00045161768384178,-2.28514672478468,0.015,0.073,1,"chr11-33336329-33337274","OPCs","PTZvsSAL_1hr","Ranbp17",0,"Down"
