"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
2.84148667952089e-20,-1.71410439187991,0.07,0.21,4.70473473988313e-15,"chrX-169978836-169979679","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Gm15726",0,"Down"
1.00150921999832e-14,-2.22249701470812,0.025,0.112,1.65822886082781e-09,"chr12-20920695-20921571","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Asap2",68887,"Down"
1.18330757410534e-12,0.508526628688531,0.623,0.467,1.95923784967344e-07,"chr13-9011377-9012251","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Gm36264",0,"Up"
5.3116202858972e-11,-1.32864886323547,0.068,0.16,8.79460905596857e-06,"chr13-119601268-119602007","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Tmem267",0,"Down"
7.60520754360326e-11,1.45152084849395,0.144,0.053,1.25921702861702e-05,"chr13-96405227-96406196","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Poc5",0,"Up"
8.49992428266393e-10,-0.79222206158234,0.195,0.289,0.000140735796325351,"chrY-90808457-90809298","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Gm47283",0,"Down"
1.05919168506116e-09,1.73279884170277,0.101,0.029,0.000175373544870632,"chr2-93399619-93400621","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Gm13807",2925,"Up"
2.901226149082e-09,-2.88082473071932,0.007,0.05,0.000480364717181953,"chr17-13481297-13482153","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","2700054A10Rik",399,"Down"
1.93156029956761e-08,-0.774260751732504,0.17,0.263,0.00319814233480308,"chrY-90739630-90740700","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Gm21860",11726,"Down"
1.95549448306689e-08,1.32332579124455,0.124,0.049,0.00323777088044834,"chr3-146412782-146413632","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Ssx2ip",0,"Up"
3.65177909756489e-08,0.260592421358861,0.856,0.773,0.00604636020521111,"chr17-39842868-39843778","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Gm26917",0,"Up"
3.73060136913423e-08,0.458541479581795,0.513,0.395,0.00617686860491662,"chr9-104002035-104003070","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Nphp3",0,"Up"
4.27740276529138e-08,0.425618162087204,0.538,0.41,0.0070822240805759,"chr2-77881108-77882033","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Cwc22",0,"Up"
7.75917071367017e-08,1.62280745556711,0.087,0.027,0.0128470917257451,"chr12-35015774-35016694","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Prps1l1",29337,"Up"
9.60005418853856e-08,1.01405970924361,0.168,0.079,0.0158950977215889,"chr3-69494231-69495034","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Ppm1l",0,"Up"
1.18518095939076e-07,-1.06142487442717,0.076,0.15,0.0196233966989207,"chr6-72370847-72371781","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Vamp5",0,"Down"
1.2311087932699e-07,0.617563975076211,0.343,0.217,0.0203838376228078,"chr9-40268801-40269719","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Scn3b",0,"Up"
1.61625985615355e-07,0.410899107646167,0.555,0.424,0.0267608993162912,"chr4-55349433-55350337","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Rad23b",0,"Up"
1.73248888013882e-07,0.484567047635736,0.459,0.327,0.0286853381351225,"chr9-109931189-109932112","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Map4",0,"Up"
1.84979292010964e-07,0.98468559716809,0.17,0.083,0.0306275763161313,"chr17-6429681-6430598","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Dynlt1b",0,"Up"
2.05687209205979e-07,-1.70751275447928,0.024,0.072,0.0340562482898616,"chr12-18609649-18610526","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","5730507C01Rik",74394,"Down"
2.24559153807013e-07,1.22311647640846,0.12,0.051,0.0371809327732886,"chr7-123285838-123286627","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Arhgap17",0,"Up"
