"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"chr2-77897231-77898068",9.11031032655159e-137,0.888166936295053,0.421,0.292,1.5088587065938e-131,"0","chr2-77897231-77898068"
"chr18-22343518-22344407",7.88938281142275e-43,0.674803070377357,0.27,0.207,1.30664747061065e-37,"0","chr18-22343518-22344407"
"chr2-78003922-78004922",1.01611957478195e-29,0.588794773550149,0.254,0.201,1.68290740094962e-24,"0","chr2-78003922-78004922"
"chr5-8622566-8623394",3.61254507102964e-21,0.431691779341188,0.313,0.276,5.98313327209e-16,"0","chr5-8622566-8623394"
"chr8-4677218-4678285",8.92868253559863e-18,0.327541971515946,0.386,0.361,1.47877733022838e-12,"0","chr8-4677218-4678285"
"chr6-122486118-122486972",1.8940341310971e-17,0.454664173533868,0.265,0.232,3.13691826826433e-12,"0","chr6-122486118-122486972"
"chr12-49383401-49384318",2.1210410457366e-17,0.406324241862871,0.289,0.255,3.51288939035941e-12,"0","chr12-49383401-49384318"
"chr18-12973554-12974638",1.09711540502066e-14,0.374811158960442,0.278,0.246,1.81705350494926e-09,"0","chr18-12973554-12974638"
"chr7-52005625-52006564",3.39534965042382e-14,0.351448059753027,0.321,0.296,5.62341204452843e-09,"0","chr7-52005625-52006564"
"chr9-124425040-124426046",1.21434210877876e-13,0.315021749029074,0.343,0.32,2.01120554398047e-08,"0","chr9-124425040-124426046"
"chr7-19749216-19750115",1.5827614196779e-13,0.380826658205718,0.268,0.239,2.62138529088474e-08,"0","chr7-19749216-19750115"
"chr7-82865747-82866636",3.25553757309886e-13,0.318209523126189,0.33,0.307,5.39185388394207e-08,"0","chr7-82865747-82866636"
"chr5-45857273-45858197",5.57524923445961e-13,0.32632805778825,0.32,0.295,9.23378353460435e-08,"0","chr5-45857273-45858197"
"chr2-53191161-53191880",7.44715484630454e-13,0.294845016400365,0.353,0.33,1.2334052327998e-07,"0","chr2-53191161-53191880"
"chr13-92354450-92355376",1.22469719706731e-12,0.285847326820412,0.372,0.353,2.02835574475484e-07,"0","chr13-92354450-92355376"
"chr10-53596320-53597219",1.56239354101009e-12,0.323203211149265,0.323,0.3,2.58765180655632e-07,"0","chr10-53596320-53597219"
"chr1-7397589-7398495",2.04243831877562e-11,0.276820767306777,0.359,0.341,3.38270676793936e-06,"0","chr1-7397589-7398495"
"chr2-14055235-14056087",9.50677913636767e-11,0.325725652450443,0.275,0.25,1.57452226734435e-05,"0","chr2-14055235-14056087"
"chr13-65240590-65241554",1.68945492747288e-10,0.331825580900957,0.288,0.268,2.79809214542985e-05,"0","chr13-65240590-65241554"
"chr10-70599115-70600056",1.71848451619491e-10,0.3096669764605,0.319,0.302,2.84617124056717e-05,"0","chr10-70599115-70600056"
"chr6-24664621-24665521",2.2626906608565e-10,0.282324065313537,0.333,0.315,3.74749089941715e-05,"0","chr6-24664621-24665521"
"chr2-18064076-18064979",3.26849377701938e-10,0.326093176818655,0.281,0.259,5.41331207843727e-05,"0","chr2-18064076-18064979"
"chr18-5334148-5335098",1.20559271526366e-09,0.310334625098747,0.297,0.279,0.000199671471094683,"0","chr18-5334148-5335098"
"chr17-42876132-42877029",1.64139903660385e-09,0.320377034502866,0.264,0.241,0.000271850149841366,"0","chr17-42876132-42877029"
"chr17-56716666-56717492",4.81384775093598e-09,0.281863077343897,0.321,0.306,0.000797274278357767,"0","chr17-56716666-56717492"
"chr4-19708650-19709541",5.53539027050634e-09,0.281871027324711,0.301,0.281,0.00091677687199153,"0","chr4-19708650-19709541"
"chr8-11727545-11728387",2.48905203475843e-08,0.341893306597035,0.25,0.232,0.00412239287048726,"0","chr8-11727545-11728387"
"chr7-13023922-13024743",5.05184358959123e-08,0.261741731072917,0.327,0.315,0.0083669138715169,"0","chr7-13023922-13024743"
"chr3-22075909-22077090",6.80588288973749e-08,0.275402282136308,0.301,0.287,0.0112719713008121,"0","chr3-22075909-22077090"
"chr3-138489062-138489957",1.07836981256783e-07,0.257253731320798,0.32,0.307,0.0178600686727297,"0","chr3-138489062-138489957"
"chr16-48993570-48994482",1.51124760933033e-07,0.291917675939337,0.265,0.248,0.0250294340304898,"0","chr16-48993570-48994482"
