"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
2.21313240223885e-12,-1.20378995691096,0.151,0.326,3.66434971235892e-07,"chrX-169993759-169994599","L23ExcitatoryNeurons","PTZvsSAL_1hr","Mid1",0,"Down"
2.45546302830612e-12,-0.980096457498655,0.225,0.419,4.0655837998573e-07,"chrY-90808457-90809298","L23ExcitatoryNeurons","PTZvsSAL_1hr","Gm47283",0,"Down"
1.86957440122691e-10,-2.44786734317429,0.02,0.111,3.09551042334344e-05,"chr14-22323312-22324237","L23ExcitatoryNeurons","PTZvsSAL_1hr","Lrmda",0,"Down"
2.34692675919113e-10,-1.18601197112862,0.128,0.282,3.88587704299553e-05,"chrY-90804600-90805534","L23ExcitatoryNeurons","PTZvsSAL_1hr","Gm47283",0,"Down"
1.48912392524291e-09,-2.65396886162277,0.015,0.085,0.000246558715674244,"chr6-136942083-136942958","L23ExcitatoryNeurons","PTZvsSAL_1hr","Pde6h",0,"Down"
2.11983653604348e-09,1.58022908474215,0.199,0.079,0.000350987694782327,"chr17-30580693-30581647","L23ExcitatoryNeurons","PTZvsSAL_1hr","Gm50240",0,"Up"
2.56306721337223e-09,-1.0495371478637,0.155,0.308,0.000424374727719679,"chrY-90739630-90740700","L23ExcitatoryNeurons","PTZvsSAL_1hr","Gm21860",11726,"Down"
3.52503081526206e-09,1.70444444046242,0.175,0.062,0.000583649927175385,"chr14-31392702-31393700","L23ExcitatoryNeurons","PTZvsSAL_1hr","Sh3bp5",0,"Up"
5.93215626222279e-09,-1.96021903495922,0.033,0.123,0.000982204908805013,"chr5-99604660-99605535","L23ExcitatoryNeurons","PTZvsSAL_1hr","Rasgef1b",0,"Down"
6.33554387803534e-09,11.2614237562296,0.055,0,0.00104899500651795,"chr1-99285302-99286262","L23ExcitatoryNeurons","PTZvsSAL_1hr","Cntnap5b",486502,"Up"
8.42292609865687e-09,-2.08373200509763,0.025,0.114,0.00139460914293291,"chr10-45813534-45814436","L23ExcitatoryNeurons","PTZvsSAL_1hr","D030045P18Rik",0,"Down"
2.09682476831073e-08,-2.06961711016631,0.025,0.103,0.00347177567363512,"chr9-102818049-102818967","L23ExcitatoryNeurons","PTZvsSAL_1hr","Ryk",15949,"Down"
2.2000610633611e-08,1.33343909188728,0.218,0.094,0.00364270710443888,"chr9-108137141-108137991","L23ExcitatoryNeurons","PTZvsSAL_1hr","4930447F24Rik",0,"Up"
3.67546045403476e-08,-0.389949698256167,0.679,0.777,0.00608557013755898,"chr2-98666640-98667361","L23ExcitatoryNeurons","PTZvsSAL_1hr","Gm10800",0,"Down"
4.63714468201652e-08,-2.27649891420464,0.018,0.085,0.00767785956435522,"chr2-13755505-13756445","L23ExcitatoryNeurons","PTZvsSAL_1hr","St8sia6",0,"Down"
5.27404828845352e-08,-1.19968935711302,0.096,0.217,0.00873239997264114,"chrY-90810371-90811371","L23ExcitatoryNeurons","PTZvsSAL_1hr","Gm47283",0,"Down"
5.39837559613372e-08,-2.47903574175695,0.015,0.079,0.00893825242578649,"chr3-121008933-121009938","L23ExcitatoryNeurons","PTZvsSAL_1hr","6530403H02Rik",122199,"Down"
6.78305746318884e-08,1.8181117210579,0.134,0.038,0.0112309117335257,"chr7-125766999-125767955","L23ExcitatoryNeurons","PTZvsSAL_1hr","D430042O09Rik",0,"Up"
6.85243432535184e-08,1.85074580762125,0.131,0.041,0.0113457810855148,"chr10-86480580-86481478","L23ExcitatoryNeurons","PTZvsSAL_1hr","Syn3",0,"Up"
9.23539600307453e-08,1.5261308959206,0.163,0.065,0.0152913222241706,"chr4-77647262-77648197","L23ExcitatoryNeurons","PTZvsSAL_1hr","Ptprd",0,"Up"
