"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
7.74385758976907e-51,-0.920317534460047,0.494,0.696,1.28217373271083e-45,"chr2-77945820-77946697","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
5.91750380062961e-28,-0.876190293755813,0.317,0.495,9.79778856781646e-23,"chr2-77933432-77934324","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
7.33292134640085e-26,-0.811991491613375,0.342,0.517,1.21413378608763e-20,"chr2-77897231-77898068","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
3.57683174488175e-20,-0.764777449902513,0.313,0.459,5.92226762495307e-15,"chr2-78021505-78022372","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","4930440I19Rik",28804,"Down"
4.03251775027058e-19,-1.96804443962957,0.037,0.135,6.6767606146555e-14,"chr13-119601268-119602007","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Tmem267",0,"Down"
1.25216373647778e-18,-1.00650634965163,0.173,0.307,2.07324506339835e-13,"chr2-77913469-77914332","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
3.8768705097824e-16,-1.06824481927092,0.13,0.255,6.41905080916202e-11,"chr2-77975363-77976288","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",28987,"Down"
4.05150094196569e-15,-0.816019884630401,0.21,0.334,6.70819165464085e-10,"chr2-77917741-77918635","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
6.16820183117561e-15,-0.705178528896864,0.27,0.391,1.02128768179324e-09,"chr2-77881108-77882033","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
1.74286683014538e-14,-1.53992655660826,0.052,0.138,2.88571689667661e-09,"chrX-169978836-169979679","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Gm15726",0,"Down"
3.17807196994975e-14,-0.723899561521686,0.257,0.373,5.26202910280489e-09,"chr2-78003922-78004922","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","4930440I19Rik",46254,"Down"
1.05738810604046e-13,-0.760740662834265,0.214,0.337,1.75074920881437e-08,"chr2-77941335-77942214","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
2.9142831552202e-13,-1.26073786343467,0.076,0.165,4.82526604859275e-08,"chr2-77951125-77951993","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",4749,"Down"
5.02465323518285e-13,-0.657614250644803,0.266,0.399,8.3194691010893e-08,"chr13-119487905-119488913","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Tmem267",0,"Down"
1.79582918217048e-09,-0.944543492873064,0.096,0.176,0.000297340825179514,"chr2-78010459-78011213","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","4930440I19Rik",39963,"Down"
5.04805109671101e-09,-0.692048849347424,0.173,0.267,0.000835820964235733,"chr2-77927952-77928844","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
7.41294658534172e-09,-1.32104894232393,0.041,0.102,0.00122738380497478,"chr8-104564659-104565546","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Gm45843",7671,"Down"
7.44489573939897e-09,-0.684023381067653,0.176,0.265,0.00123267372225951,"chr2-77889368-77890235","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Cwc22",0,"Down"
1.01819802373471e-08,-0.467994583640376,0.327,0.436,0.00168586101383827,"chr7-38200572-38201429","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","1600014C10Rik",3003,"Down"
1.75863289777318e-08,-1.30939093222573,0.039,0.098,0.00291182124782999,"chr5-145129980-145130884","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Pdap1",0,"Down"
1.99476580317303e-08,-1.23673381529864,0.043,0.106,0.00330279358328769,"chr13-119596150-119597084","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Tmem267",0,"Down"
2.51101048542559e-08,-1.16298860289757,0.052,0.113,0.00415755539103371,"chr11-77174258-77175226","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Efcab5",0,"Down"
3.18910469168817e-08,-1.58488717116951,0.025,0.071,0.00528029631116885,"chr7-83826406-83827420","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Gm39043",0,"Down"
3.74275848619078e-08,-1.38724101850665,0.033,0.086,0.00619699750834066,"chr16-50672998-50673973","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","4930542D17Rik",18831,"Down"
3.89446997502542e-08,-0.6740230641311,0.166,0.243,0.00644819077174884,"chr2-78025644-78026476","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","4930440I19Rik",24700,"Down"
3.99268599854876e-08,-0.918837648683188,0.084,0.157,0.00661080998837714,"chr11-54112628-54113553","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","P4ha2",0,"Down"
8.26443011466687e-08,-1.70297658475243,0.02,0.061,0.0136836648737574,"chr12-105832354-105833147","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Papola",0,"Down"
1.24826799215445e-07,-1.20548373741776,0.044,0.096,0.0206679476264989,"chr2-31876185-31877175","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Gm13441",9758,"Down"
1.47360814400499e-07,1.37202634018337,0.076,0.029,0.0243989721227338,"chr14-10531645-10532596","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Fhit",0,"Up"
