"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"chr2-77897231-77898068",5.57947280131327e-114,0.991369300131888,0.415,0.299,9.24077864826305e-109,"0","chr2-77897231-77898068"
"chr18-22343518-22344407",3.13251065167323e-28,0.719172883721239,0.259,0.211,5.18809546640772e-23,"0","chr18-22343518-22344407"
"chr6-122486118-122486972",2.28352248848673e-10,0.489599774890488,0.252,0.235,3.7819927806566e-05,"0","chr6-122486118-122486972"
"chr7-19749216-19750115",2.60607302701131e-08,0.431283519305678,0.255,0.242,0.0043162042080664,"0","chr7-19749216-19750115"
"chr10-53596320-53597219",7.3171031719182e-07,0.367724820206791,0.3,0.304,0.121186594443626,"0","chr10-53596320-53597219"
"chr8-4677218-4678285",1.07920991455764e-06,0.323118668929628,0.348,0.366,0.17873982525895,"0","chr8-4677218-4678285"
"chr13-92354450-92355376",1.44680960634154e-06,0.321498007473122,0.344,0.357,0.239622053811892,"0","chr13-92354450-92355376"
"chr2-3283572-3284516",2.24103604753643e-06,0.299354422940449,0.357,0.374,0.371162631229031,"0","chr2-3283572-3284516"
"chr3-135437887-135438842",2.27830541604983e-06,0.278397034933244,0.38,0.406,0.37733522131159,"0","chr3-135437887-135438842"
"chr18-12973554-12974638",6.5403653596827e-06,0.383760994320012,0.254,0.25,1,"0","chr18-12973554-12974638"
"chr18-5334148-5335098",3.39395157273385e-05,0.346853919427985,0.278,0.282,1,"0","chr18-5334148-5335098"
"chr7-52005625-52006564",3.53592780553004e-05,0.357945701477575,0.29,0.301,1,"0","chr7-52005625-52006564"
"chr12-49383401-49384318",3.97607561027702e-05,0.364851770241272,0.259,0.26,1,"0","chr12-49383401-49384318"
"chr9-124425040-124426046",0.000108358700069631,0.306187496453888,0.31,0.325,1,"0","chr9-124425040-124426046"
"chr5-45857273-45858197",0.000115295331563141,0.326578936676156,0.29,0.3,1,"0","chr5-45857273-45858197"
"chr2-53191161-53191880",0.000723262932834122,0.282699845973347,0.316,0.336,1,"0","chr2-53191161-53191880"
"chr2-18064076-18064979",0.00164325360393842,0.323243286333127,0.256,0.263,1,"0","chr2-18064076-18064979"
"chr7-82865747-82866636",0.00258362505997952,0.280844238163366,0.294,0.312,1,"0","chr7-82865747-82866636"
"chr14-14702598-14703460",0.00376949377640963,0.305251839819445,0.246,0.252,1,"0","chr14-14702598-14703460"
"chr9-88482330-88483225",0.00496174720684062,0.290951620652072,0.297,0.321,1,"0","chr9-88482330-88483225"
"chr6-24664621-24665521",0.00543105594910265,0.267300580345014,0.3,0.319,1,"0","chr6-24664621-24665521"
"chr2-18056238-18057198",5.09832181829076e-47,0.839691184190982,0.323,0.25,8.44389157867133e-42,"1","chr2-18056238-18057198"
"chr6-108659097-108659937",5.61773088644759e-42,0.941973337829053,0.26,0.191,9.30414207144337e-37,"1","chr6-108659097-108659937"
"chr4-47352733-47353598",1.05600331319373e-16,0.62556652320819,0.257,0.223,1.74896324734459e-11,"1","chr4-47352733-47353598"
"chr14-34310190-34311082",9.60716847705427e-14,0.567071020818364,0.283,0.264,1.5911488503382e-08,"1","chr14-34310190-34311082"
"chr15-58076131-58076998",5.61532451522104e-12,0.53609425716418,0.289,0.274,9.30015661535424e-07,"1","chr15-58076131-58076998"
"chr10-58322931-58323868",1.0963622532848e-11,0.523888837855928,0.303,0.295,1.81580612751282e-06,"1","chr10-58322931-58323868"
"chr11-23497616-23498470",1.50105329248276e-11,0.581594270271278,0.25,0.229,2.48605947354288e-06,"1","chr11-23497616-23498470"
"chr15-38298850-38299698",5.53568631910364e-11,0.564605705944564,0.261,0.243,9.16825903856263e-06,"1","chr15-38298850-38299698"
"chr1-125560319-125561147",2.74192350961949e-09,0.51139117968384,0.274,0.264,0.000454120113586689,"1","chr1-125560319-125561147"
"chr15-9070873-9071751",1.15045439499809e-06,0.444103400825098,0.279,0.278,0.190539407353978,"1","chr15-9070873-9071751"
"chr6-88841760-88842724",2.15551149060727e-06,0.405955640052978,0.32,0.336,0.356997968585867,"1","chr6-88841760-88842724"
"chr19-53142099-53143038",2.45535184447435e-06,0.402816095265101,0.33,0.351,0.406657827833686,"1","chr19-53142099-53143038"
"chr2-76647741-76648630",9.36901335125794e-06,0.458390427582783,0.276,0.284,1,"1","chr2-76647741-76648630"
"chr13-47043003-47043888",9.57288119896083e-06,0.451153632099263,0.274,0.28,1,"1","chr13-47043003-47043888"
"chr4-40853604-40854521",1.03042978929431e-05,0.453828078477106,0.264,0.267,1,"1","chr4-40853604-40854521"
"chr15-3995394-3996321",3.62706648940064e-05,0.414475897095212,0.277,0.284,1,"1","chr15-3995394-3996321"
"chr19-41980865-41981793",3.96300112312017e-05,0.372499700217893,0.335,0.366,1,"1","chr19-41980865-41981793"
"chr16-46496699-46497633",0.000102767475609677,0.471575267225696,0.251,0.257,1,"1","chr16-46496699-46497633"
"chr3-97227135-97228103",0.000150002391971675,0.430100172216979,0.252,0.256,1,"1","chr3-97227135-97228103"
"chr1-177796202-177797060",0.000236715083950195,0.402839254623341,0.28,0.292,1,"1","chr1-177796202-177797060"
"chr10-41809526-41810483",0.000263399670711358,0.429411376420763,0.254,0.261,1,"1","chr10-41809526-41810483"
"chr3-8666755-8667650",0.000358836446168148,0.403734473217127,0.29,0.308,1,"1","chr3-8666755-8667650"
"chr18-6135605-6136533",0.000443203958650569,0.403262629614708,0.261,0.269,1,"1","chr18-6135605-6136533"
"chr8-47713613-47714519",0.000568591040354745,0.383049656759263,0.284,0.3,1,"1","chr8-47713613-47714519"
"chr5-96997090-96998031",0.00124153015095543,0.415101529424854,0.259,0.271,1,"1","chr5-96997090-96998031"
"chr9-80164453-80165378",0.0023341721682092,0.392166355275646,0.252,0.261,1,"1","chr9-80164453-80165378"
"chr1-60180061-60180946",0.00470355946645267,0.398176400366543,0.242,0.252,1,"1","chr1-60180061-60180946"
"chr18-21299869-21300783",0.0048630751595737,0.344448141647615,0.322,0.36,1,"1","chr18-21299869-21300783"
"chr17-56461862-56462823",0.00578328550222751,0.380193686344035,0.245,0.256,1,"1","chr17-56461862-56462823"
"chr13-17694660-17695527",0.00723410129978583,0.357665276323448,0.283,0.306,1,"1","chr13-17694660-17695527"
"chr1-7088413-7089359",0.00951793437778983,0.336096368027804,0.313,0.345,1,"1","chr1-7088413-7089359"
"JH584304.1-59291-60172",7.5781837113147e-297,1.37343362781246,0.784,0.574,1.25510636445165e-291,"10","JH584304.1-59291-60172"
"chr11-3192817-3193758",9.15393069524799e-126,1.58527448764403,0.47,0.272,1.51608315567767e-120,"10","chr11-3192817-3193758"
"chr13-9011377-9012251",1.24383067830116e-54,1.06002482797695,0.476,0.399,2.06004480770916e-49,"10","chr13-9011377-9012251"
"chr19-61266374-61267259",1.63865032970571e-50,1.15393917176654,0.387,0.277,2.7139490625619e-45,"10","chr19-61266374-61267259"
"chr14-102982341-102983261",8.37205346791661e-35,1.18503447870246,0.265,0.166,1.38658786740982e-29,"10","chr14-102982341-102983261"
"chr10-19591510-19592412",5.48012143255756e-31,1.12087526846848,0.259,0.165,9.07623191781616e-26,"10","chr10-19591510-19592412"
"chr10-121475928-121476842",9.8875774804017e-31,1.16270650251753,0.253,0.162,1.63759046988161e-25,"10","chr10-121475928-121476842"
"chr4-135272435-135273294",9.82042202583936e-30,1.06019257401716,0.267,0.175,1.62646811634154e-24,"10","chr4-135272435-135273294"
"chr5-121836438-121837399",1.90776373231726e-23,0.962707612354214,0.291,0.218,3.15965737110118e-18,"10","chr5-121836438-121837399"
"chr18-65430409-65431334",3.62958464375573e-21,0.954535414513369,0.284,0.215,6.01135438283468e-16,"10","chr18-65430409-65431334"
"chr5-135148908-135149912",1.83812811400749e-20,0.82310136065811,0.34,0.284,3.04432616370034e-15,"10","chr5-135148908-135149912"
"chr2-170130806-170131702",1.72992281812545e-18,0.915620829520608,0.258,0.193,2.86511547060755e-13,"10","chr2-170130806-170131702"
"chr1-125560319-1255611471",2.74692332142768e-18,0.809782855498854,0.319,0.262,4.54948187418174e-13,"10","chr1-125560319-125561147"
"chr6-108828154-108829031",3.01816768248438e-18,0.856949040033794,0.285,0.223,4.99871949740745e-13,"10","chr6-108828154-108829031"
"chr15-58076131-580769981",7.10548189971637e-17,0.753809152997283,0.325,0.273,1.17681701771292e-11,"10","chr15-58076131-58076998"
"chr4-47352733-473535981",8.31250880619945e-17,0.820510281582221,0.283,0.224,1.37672602099156e-11,"10","chr4-47352733-47353598"
"chr17-39848011-39848946",1.10569165336623e-16,0.487311562239098,0.567,0.617,1.83125757322168e-11,"10","chr17-39848011-39848946"
"chr17-39845560-39846509",5.67971128242515e-16,0.428105900886397,0.627,0.689,9.40679462306536e-11,"10","chr17-39845560-39846509"
"chr2-73386166-73387063",1.80499435328849e-15,0.781748428220236,0.313,0.266,2.98944969785994e-10,"10","chr2-73386166-73387063"
"chr4-139574069-139574975",7.1161259887294e-14,0.744636077714032,0.302,0.26,1.17857990237935e-08,"10","chr4-139574069-139574975"
"chr4-155563273-155564219",9.64657359556586e-14,0.790963347808654,0.281,0.235,1.59767516547121e-08,"10","chr4-155563273-155564219"
"chr11-49243641-49244548",3.79074418089175e-13,0.792113433802534,0.272,0.226,6.27826841983472e-08,"10","chr11-49243641-49244548"
"chr10-86778482-86779410",2.12765601675477e-12,0.833863509265438,0.254,0.21,3.52384517150942e-07,"10","chr10-86778482-86779410"
"chr1-195241229-195242143",1.74213126094886e-11,0.796809708799788,0.291,0.264,2.88533521569611e-06,"10","chr1-195241229-195242143"
"chr14-65343419-65344357",1.39567401966892e-10,0.702595853374297,0.286,0.253,2.31152926811587e-05,"10","chr14-65343419-65344357"
"chr4-40853604-408545211",1.50104361834744e-10,0.694690751860167,0.297,0.265,2.48604345114321e-05,"10","chr4-40853604-40854521"
"chr4-16163361-16164228",2.95183052072158e-10,0.638169083407971,0.335,0.32,4.88885122672429e-05,"10","chr4-16163361-16164228"
"chr8-122281343-122282276",2.50312125856964e-09,0.646753750830261,0.319,0.306,0.000414569445965562,"10","chr8-122281343-122282276"
