"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
1.95654394423682e-39,-0.985251955750042,0.444,0.767,3.23950850479124e-34,"chr2-77945820-77946697","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
5.59610092029633e-23,-1.10122532760578,0.242,0.515,9.26563217676225e-18,"chr2-77897231-77898068","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
5.50394513793938e-21,-1.09890932312657,0.219,0.474,9.11304708324037e-16,"chr2-77933432-77934324","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
2.96076009596337e-20,-1.23921918156583,0.166,0.413,4.90221931368943e-15,"chr2-78021505-78022372","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","4930440I19Rik",28804,"Down"
2.75210848844699e-19,-1.10979090808666,0.194,0.441,4.55674858757633e-14,"chr2-78003922-78004922","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","4930440I19Rik",46254,"Down"
5.97142900301461e-11,-1.48905028853939,0.06,0.175,9.88707414316138e-06,"chr2-77994723-77995696","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Cwc22",48347,"Down"
2.38109754347322e-10,-1.61930692447411,0.045,0.151,3.94245463565491e-05,"chr2-78010459-78011213","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","4930440I19Rik",39963,"Down"
5.29279443091362e-09,-1.49525729511228,0.044,0.139,0.000876343852309661,"chr2-77996768-77997711","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Cwc22",50392,"Down"
1.14191570813979e-08,-1.22405154228101,0.074,0.18,0.00189070409543829,"chr2-78009583-78010377","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","4930440I19Rik",40799,"Down"
2.18326055659427e-08,-0.673407287805091,0.245,0.403,0.00361489000136983,"chr10-79766767-79767780","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Rnf126",0,"Down"
2.35875210481855e-08,-1.41873125982339,0.052,0.151,0.00390545662251122,"chr2-78026599-78027293","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","4930440I19Rik",23883,"Down"
5.4616000525938e-08,-0.603981748121386,0.277,0.459,0.00904293505508113,"chr2-23155708-23156654","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Yme1l1",0,"Down"
8.3562658582952e-08,-1.78278043003347,0.027,0.093,0.0138357200695551,"chr2-77951125-77951993","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Cwc22",4749,"Down"
1.02182614224062e-07,-1.21135925210887,0.066,0.162,0.0169186819849206,"chr2-77917741-77918635","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Cwc22",0,"Down"
1.31389723224507e-07,-1.06644952443805,0.089,0.187,0.0217545906434512,"chr2-78025644-78026476","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","4930440I19Rik",24700,"Down"
1.64961888297215e-07,-0.923806121458653,0.121,0.251,0.0273132347310349,"chr7-126695383-126696325","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Bola2",0,"Down"
1.89571771560847e-07,-0.771617499467326,0.166,0.292,0.0313879669326441,"chr13-65112476-65113384","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Mfsd14b",0,"Down"
