"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
1.39121191476091e-07,-1.22015681147569,0.207,0.452,0.0230347130362708,"chr17-39845560-39846509","Astrocytes","24hrvs1hr_SAL","Gm26917",0,"Down"
8.51202387871028e-07,-10.6683789017468,0,0.051,0.14093613296697,"chr1-131274497-131275428","Astrocytes","24hrvs1hr_SAL","Ikbke",0,"Down"
8.73840328849245e-07,-10.4245170847126,0,0.051,0.144684364768556,"chr3-55450729-55451654","Astrocytes","24hrvs1hr_SAL","Dclk1",0,"Down"
1.00379256230469e-06,-3.65268504083929,0.008,0.079,0.166200945918474,"chr2-73012408-73013319","Astrocytes","24hrvs1hr_SAL","Sp3os",23730,"Down"
1.23961615255604e-06,1.26726574499672,0.317,0.153,0.205246965227161,"chr11-20741157-20742010","Astrocytes","24hrvs1hr_SAL","Aftph",0,"Up"
1.4013137374924e-06,-3.29438311293077,0.01,0.085,0.232019719457829,"chr10-94523420-94524306","Astrocytes","24hrvs1hr_SAL","Tmcc3",0,"Down"
1.93176116721716e-06,-2.90601572797654,0.014,0.09,0.319847491739647,"chr19-5715890-5716852","Astrocytes","24hrvs1hr_SAL","Ehbp1l1",0,"Down"
1.94546140433595e-06,-1.2032184822125,0.182,0.328,0.322115881100116,"chr2-98666640-98667361","Astrocytes","24hrvs1hr_SAL","Gm10800",0,"Down"
3.94208110999865e-06,-4.34803980335303,0.004,0.062,0.652702195625807,"chr8-57842733-57843591","Astrocytes","24hrvs1hr_SAL","Galntl6",0,"Down"
4.16899931413636e-06,-2.78563998166367,0.014,0.096,0.690273723439499,"chr8-123786054-123786885","Astrocytes","24hrvs1hr_SAL","Gm45866",18332,"Down"
5.13865251332049e-06,-4.38769595932118,0.004,0.056,0.850822112588014,"chr18-44470396-44471398","Astrocytes","24hrvs1hr_SAL","Mcc",0,"Down"
5.16604204123561e-06,-3.21763105030081,0.01,0.085,0.855357078893504,"chr7-38189087-38190049","Astrocytes","24hrvs1hr_SAL","1600014C10Rik",0,"Down"
5.25759195228707e-06,-1.34061490986404,0.106,0.254,0.870515272316028,"chr18-77046794-77047713","Astrocytes","24hrvs1hr_SAL","Katnal2",0,"Down"
5.59936312921951e-06,-2.81023147792398,0.014,0.09,0.927103351394262,"chr18-34361830-34362661","Astrocytes","24hrvs1hr_SAL","Reep5",0,"Down"
6.35781161906456e-06,-4.02644476552379,0.004,0.062,1,"chr11-104254357-104255342","Astrocytes","24hrvs1hr_SAL","Gm11659",0,"Down"
8.50716634078217e-06,-5.31249053259098,0.002,0.051,1,"chr13-42671537-42672513","Astrocytes","24hrvs1hr_SAL","Phactr1",8109,"Down"
8.74125997888715e-06,-1.52472058281046,0.076,0.209,1,"chr9-35304951-35305862","Astrocytes","24hrvs1hr_SAL","Gm33838",0,"Down"
9.55831531669089e-06,-2.02391158841576,0.037,0.13,1,"chrX-169978836-169979679","Astrocytes","24hrvs1hr_SAL","Gm15726",0,"Down"
1.0534677848455e-05,-3.64084229028886,0.006,0.068,1,"chr2-156476655-156477443","Astrocytes","24hrvs1hr_SAL","Epb41l1",0,"Down"
1.25952198397752e-05,-5.2131576090336,0.002,0.051,1,"chr12-100875324-100876329","Astrocytes","24hrvs1hr_SAL","Dglucy",0,"Down"
1.40548976605522e-05,-2.63070100728957,0.014,0.096,1,"chr2-153508974-153509811","Astrocytes","24hrvs1hr_SAL","Nol4l",0,"Down"
1.60009870950415e-05,-1.82717660184329,0.039,0.141,1,"chr1-25008481-25009457","Astrocytes","24hrvs1hr_SAL","Gm29414",17123,"Down"
2.14954702428363e-05,-4.0288489589364,0.004,0.056,1,"chr12-102206338-102207677","Astrocytes","24hrvs1hr_SAL","Slc24a4",0,"Down"
2.30130987626416e-05,-4.66099022655337,0.002,0.051,1,"chr18-67566219-67567178","Astrocytes","24hrvs1hr_SAL","Spire1",0,"Down"
2.60619830010247e-05,-2.43347750201515,0.018,0.096,1,"chr10-80664337-80665299","Astrocytes","24hrvs1hr_SAL","Mknk2",27,"Down"
2.90210313178932e-05,-1.56066936313197,0.057,0.169,1,"chr15-84639147-84640158","Astrocytes","24hrvs1hr_SAL","Prr5",29461,"Down"
2.90717782595712e-05,-1.81352689592382,0.039,0.153,1,"chrY-90808457-90809298","Astrocytes","24hrvs1hr_SAL","Gm47283",0,"Down"
3.09300881189882e-05,-1.66185901471384,0.047,0.147,1,"chr7-4111443-4112376","Astrocytes","24hrvs1hr_SAL","9430041J12Rik",0,"Down"
3.1727813050251e-05,-4.04547622742671,0.004,0.051,1,"chr9-41238681-41239653","Astrocytes","24hrvs1hr_SAL","1700063D05Rik",20690,"Down"
