"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
1.71224985579284e-13,-1.92083556474261,0.037,0.121,2.83502345373187e-08,"chr9-62763364-62764200","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Itga11",0,"Down"
3.18405250378688e-12,-0.936181661309451,0.17,0.285,5.27193125209505e-07,"chr1-195241229-195242143","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Cr2",64512,"Down"
1.38267215910347e-11,-1.82277741074321,0.033,0.111,2.28933177399239e-06,"chr14-75770994-75771933","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Slc25a30",0,"Down"
4.22173844422386e-11,-2.25169019067798,0.019,0.084,6.99005899425478e-06,"chr3-90451470-90452369","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Gm16048",0,"Down"
1.40334760755846e-10,-0.528133555351412,0.444,0.532,2.32356473426276e-05,"chr2-77945820-77946697","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Cwc22",0,"Down"
3.31287035088447e-10,-1.72423290398742,0.034,0.105,5.48521882606994e-05,"chr1-180384194-180385117","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Itpkb",0,"Down"
4.70650824756738e-10,1.33009947178361,0.144,0.057,7.79270690074473e-05,"chr10-50894151-50895022","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Sim1",0,"Up"
5.67462103408863e-10,-1.83863135149778,0.027,0.098,9.39564028477157e-05,"chr7-79486279-79487211","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Mir9-3hg",12814,"Down"
6.37650167245186e-10,1.58154119883642,0.116,0.04,0.000105577651141287,"chr9-55540558-55541463","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Gm17226",0,"Up"
6.55170864506149e-10,-1.63997430421204,0.037,0.105,0.000108478605548877,"chr4-49522349-49523224","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Zfp189",0,"Down"
7.04075330677835e-10,1.39718907141375,0.13,0.048,0.000116575864726321,"chr10-55851009-55851941","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Tbc1d32",162351,"Up"
1.07969261363196e-09,-2.35093709663102,0.014,0.067,0.000178767945116884,"chr15-53896667-53897528","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Samd12",0,"Down"
1.32697220018314e-09,-1.68558877389919,0.035,0.099,0.000219710768100923,"chr3-51195150-51196109","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Noct",28337,"Down"
2.92808929951781e-09,1.6824204445837,0.094,0.031,0.000484812529589062,"chr1-119223599-119224474","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Gm29456",80871,"Up"
5.10073279918543e-09,-2.40996318511841,0.012,0.063,0.00084454363175953,"chr8-122355735-122356660","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Trhr2",306,"Down"
6.81533431622552e-09,-2.35712081162644,0.012,0.059,0.00112843534874041,"chr15-89137268-89138093","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Mapk12",0,"Down"
8.3872515741159e-09,-1.36555735638873,0.048,0.118,0.00138870240488109,"chr17-47510856-47511751","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Ccnd3",0,"Down"
8.82786433173839e-09,-2.40390103690778,0.011,0.057,0.00146165598099892,"chr11-103205891-103206816","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","1700023F06Rik",0,"Down"
9.46252807811658e-09,-2.15123420201979,0.016,0.068,0.001566739161478,"chr7-122584269-122585279","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Prkcb",0,"Down"
1.15761943429904e-08,1.48949941578889,0.106,0.038,0.00191670522595195,"chr11-19020113-19020956","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Meis1",1127,"Up"
1.16164324359264e-08,-2.53990637518643,0.01,0.053,0.00192336756771365,"chr1-47192759-47193703","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Gm28826",3687,"Down"
1.46004225084407e-08,1.46683052083499,0.108,0.038,0.00241743575599006,"chr2-174295051-174295954","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Gnas",0,"Up"
1.62413715901474e-08,-1.97406182283913,0.019,0.071,0.00268913261829547,"chr13-54100813-54101737","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Sfxn1",0,"Down"
1.88207971974266e-08,-1.69530303258442,0.028,0.086,0.00311621585436951,"chr3-85553439-85554389","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Gm37240",0,"Down"
