"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","comparison","closestgene","distance","Regulation"
4.8598183068607e-09,-0.657158821515442,0.326,0.508,0.000804654696521847,"chr9-35304951-35305862","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gm33838",0,"Down"
2.68296274824919e-07,1.92083186814703,0.111,0.031,0.0444226191115863,"chr14-75770994-75771933","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Slc25a30",0,"Up"
6.54855740235199e-07,-1.01732953530429,0.111,0.227,0.108426429477963,"chrY-90739630-90740700","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gm21860",11726,"Down"
1.79259036323775e-06,0.782016171763062,0.294,0.201,0.296804564212364,"chr11-61174765-61175652","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Usp22",0,"Up"
2.38838545005283e-06,-1.48643174043694,0.04,0.115,0.395452144121597,"chr17-13680897-13681903","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gm16046",0,"Down"
4.14419493786537e-06,-0.459748009678037,0.42,0.596,0.686166788447184,"chr6-47650634-47651570","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Ezh2",55292,"Down"
5.87090039243229e-06,-2.4298272077196,0.009,0.055,0.972062590676192,"chr1-52251023-52251921","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gls",17790,"Down"
8.4749475446873e-06,-2.00698202582662,0.016,0.068,1,"chr17-15804049-15804920","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Rgmb",0,"Down"
1.16254061664056e-05,-2.13080803268875,0.015,0.062,1,"chr1-155194235-155194979","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Stx6",0,"Down"
1.25710547807837e-05,-1.71249500318722,0.024,0.078,1,"chr5-33589227-33590150","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Fam53a",10196,"Down"
1.26167706000781e-05,-1.18980146152167,0.055,0.13,1,"chrY-90738881-90739581","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gm21860",12845,"Down"
1.33183341271695e-05,-1.55494848704258,0.031,0.091,1,"chr1-119223599-119224474","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gm29456",80871,"Down"
1.48491719008364e-05,-1.58268694440571,0.028,0.086,1,"chr11-41491008-41491800","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","A230004M16Rik",218541,"Down"
2.50009514694708e-05,-1.47430764458375,0.035,0.089,1,"chr3-122788037-122788973","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","4930447N08Rik",0,"Down"
2.58420585927891e-05,-1.60929969332492,0.028,0.083,1,"chr3-118425519-118426505","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gm26871",3818,"Down"
2.71174996362682e-05,-0.761198814779286,0.153,0.25,1,"chr1-171360387-171361468","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Klhdc9",0,"Down"
2.87415571960504e-05,-0.655417119383663,0.193,0.32,1,"chr2-78021505-78022372","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","4930440I19Rik",28804,"Down"
2.91821790204429e-05,-1.63172809994118,0.026,0.081,1,"chrX-170003988-170004876","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Mid1",0,"Down"
2.99675070056411e-05,-1.47317707172921,0.032,0.091,1,"chr9-119848927-119849852","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Scn11a",23470,"Down"
3.32257748304943e-05,-2.06276500889018,0.014,0.06,1,"chr1-69789966-69791019","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Spag16",35950,"Down"
3.4754493060506e-05,-1.64931729211346,0.024,0.078,1,"chr9-79877200-79878233","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Filip1",0,"Down"
4.21887132133608e-05,-1.55686390179361,0.026,0.078,1,"chr1-115033637-115034575","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Cntnap5a",650180,"Down"
4.54970593148463e-05,-2.0128469125499,0.014,0.055,1,"chr19-59168910-59169776","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Vax1",0,"Down"
4.56654973945649e-05,-1.15540675546831,0.057,0.13,1,"chr10-50894151-50895022","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Sim1",0,"Down"
5.3309815350468e-05,-1.36830485328968,0.039,0.102,1,"chr10-29143404-29144205","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Soga3",0,"Down"
5.46356704188948e-05,0.779327785471236,0.247,0.156,1,"chr10-61475371-61476218","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Lrrc20",0,"Up"
5.48066508232607e-05,-0.940433356289145,0.082,0.172,1,"chr2-78025644-78026476","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","4930440I19Rik",24700,"Down"
5.48331321189751e-05,-1.01564663249037,0.074,0.156,1,"chrX-169993759-169994599","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Mid1",0,"Down"
6.75993750860073e-05,-1.85503626761335,0.016,0.057,1,"chr12-18609649-18610526","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","5730507C01Rik",74394,"Down"
6.76787038200528e-05,-2.08436243991888,0.013,0.055,1,"chr7-96688765-96689696","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Tenm4",0,"Down"
7.10887994927205e-05,-1.6852093386112,0.02,0.068,1,"chr8-25483123-25484074","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Gm31045",0,"Down"
7.11412871356697e-05,-2.04451980309888,0.013,0.052,1,"chr2-179709835-179710758","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Cdh4",0,"Down"
7.15172131418753e-05,-1.52967391693886,0.026,0.076,1,"chr16-72699074-72700016","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Robo1",0,"Down"
7.45722311137499e-05,-1.16892545008111,0.052,0.117,1,"chr1-89549878-89550779","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Agap1",0,"Down"
7.73471940521307e-05,-1.77665145992224,0.017,0.06,1,"chr17-83868225-83869685","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","C430042M11Rik",13806,"Down"
8.17678780624257e-05,-1.0047025820767,0.077,0.151,1,"chr2-77975363-77976288","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Cwc22",28987,"Down"
8.22947195805341e-05,1.96424344468564,0.065,0.018,1,"chr15-81347123-81348002","ExcitatoryNeuronsMatureDG","PTZvsSAL_1hr","Slc25a17",0,"Up"
